,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9723991507430998,0.9516862447896931,0.9723991507430998,0.9349729966428258,0.9723991507430998,0.9430932089184643
CAD,0.8362445414847162,0.5536019536019536,0.8362445414847162,0.5546568627450981,0.8362445414847162,0.5541284403669725
CHF,0.8493150684931506,0.5672314725495953,0.8493150684931506,0.5716476728086058,0.8493150684931505,0.5693681318681318
Depression,0.9706498951781971,0.9632794396460922,0.9706498951781971,0.9504224270353303,0.9706498951781971,0.9566611287056747
Diabetes,0.9164926931106472,0.6019282609891622,0.9164926931106472,0.6009845461900256,0.9164926931106472,0.6014556940295945
GERD,0.8990610328638498,0.5710505453065072,0.8990610328638498,0.5738340425992702,0.8990610328638498,0.5724348514467583
Gallstones,0.955193482688391,0.943140731469893,0.955193482688391,0.8876672749391727,0.955193482688391,0.9124862272344287
Gout,0.974,0.9366990720282811,0.974,0.9428470069830838,0.974,0.9397428409859925
Hypercholesterolemia,0.91415313225058,0.9126556016597511,0.91415313225058,0.913124754033845,0.91415313225058,0.9128850576596361
Hypertension,0.9103139013452914,0.8584306754697816,0.9103139013452914,0.8584306754697816,0.9103139013452914,0.8584306754697816
Hypertriglyceridemia,0.9711934156378601,0.8393571266882971,0.9711934156378601,0.890238611713666,0.9711934156378601,0.8627450980392157
OA,0.9242424242424242,0.5867626983006167,0.9242424242424242,0.6026988452056572,0.9242424242424242,0.5944463822036198
OSA,0.9797979797979798,0.6546813725490196,0.9797979797979798,0.6433420859650368,0.9797979797979798,0.6489346334416757
Obesity,0.9373601789709173,0.9360906862745098,0.9373601789709173,0.9360906862745098,0.9373601789709173,0.9360906862745098
PVD,0.956989247311828,0.6051884229762434,0.956989247311828,0.6164513848724374,0.956989247311828,0.6106724096673845
Venous Insufficiency,0.8946135831381733,0.6145922136970731,0.8946135831381733,0.6397504765205337,0.8946135831381733,0.6253290435799942
overall,0.9303959994593864,0.6133167674059158,0.9303959994593864,0.6140332661146151,0.9303959994593864,0.6136745032592664
