,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9745222929936306,0.9589219901719901,0.9745222929936306,0.9362136914319077,0.9745222929936306,0.9471380471380471,gini
CAD,0.8384279475982532,0.5572019185212588,0.8384279475982532,0.5616454689984102,0.8384279475982532,0.5584617902143676,entropy
CHF,0.8721461187214612,0.5813106796116504,0.8721461187214612,0.5865445379344623,0.8721461187214612,0.5839134572924968,entropy
Depression,0.960167714884696,0.9490848806366048,0.960167714884696,0.9334485407066052,0.960167714884696,0.9409749584812269,entropy
Diabetes,0.9102296450939458,0.5975881261595547,0.9102296450939458,0.5966994391651926,0.9102296450939458,0.5971340667184876,gini
GERD,0.8802816901408451,0.5546158098396904,0.8802816901408451,0.5503145675643483,0.8802816901408451,0.5523884540277982,gini
Gallstones,0.9511201629327902,0.9298099762470309,0.9511201629327902,0.8852341849148418,0.9511201629327902,0.9055769230769231,gini
Gout,0.976,0.9439859591470929,0.976,0.9439859591470929,0.976,0.9439859591470929,gini
Hypercholesterolemia,0.9118329466357309,0.6085180050321662,0.9118329466357309,0.6065999096302127,0.9118329466357309,0.6075491701396505,gini
Hypertension,0.9103139013452914,0.8624704025256511,0.9103139013452914,0.8498603351955307,0.9103139013452914,0.8559431524547804,gini
Hypertriglyceridemia,0.9609053497942387,0.7885866736074961,0.9609053497942387,0.8848156182212581,0.9609053497942387,0.8285777934542484,entropy
OA,0.9415584415584416,0.6021716378859235,0.9415584415584416,0.6209839207114412,0.9415584415584416,0.6111750471075595,gini
OSA,0.9919191919191919,0.6557868403662797,0.9919191919191919,0.6565656565656566,0.9919191919191919,0.6561757930178983,entropy
Obesity,0.9284116331096197,0.9259157843495194,0.9284116331096197,0.9288909313725491,0.9284116331096197,0.9272283272283273,entropy
PVD,0.9591397849462365,0.6093777344433611,0.9591397849462365,0.617286806760491,0.9591397849462365,0.6132656552982776,gini
Venous Insufficiency,0.8852459016393442,0.5749513545876366,0.8852459016393442,0.586770057182464,0.8852459016393442,0.5801376597836775,entropy
overall,0.9298553858629545,0.6130633966837559,0.9298553858629545,0.6128861143290285,0.9298553858629545,0.6129728250552519,
