,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8726114649681529,0.8304939043451078,0.8726114649681529,0.5771602685739309,0.8726114649681529,0.5992626205331821
CAD,0.8493449781659389,0.5624576566621281,0.8493449781659389,0.5643150503444622,0.8493449781659389,0.5633774926236162
CHF,0.8127853881278538,0.5415344798797795,0.8127853881278538,0.5469947101217737,0.8127853881278538,0.5441765269103398
Depression,0.8385744234800838,0.8616780045351473,0.8385744234800838,0.6470046082949309,0.8385744234800839,0.6795948810551936
Diabetes,0.7682672233820459,0.7354941436821936,0.7682672233820459,0.6794808507137274,0.7682672233820459,0.6939825606492274
GERD,0.7863849765258216,0.48550724637681153,0.7863849765258216,0.3579789710771097,0.7863849765258216,0.3434111004580804
Gallstones,0.8492871690427699,0.9237113402061856,0.8492871690427699,0.5375,0.8492871690427699,0.5284727990033222
Gout,0.892,0.9452332657200812,0.892,0.5573770491803278,0.892,0.5739712193890432
Hypercholesterolemia,0.7424593967517401,0.7468563650505574,0.7424593967517401,0.7498032270759544,0.7424593967517401,0.7421873736965484
Hypertension,0.8811659192825112,0.8541036968146942,0.8811659192825112,0.7417153377348908,0.8811659192825112,0.7793048073421905
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8354978354978355,0.581492852662507,0.8354978354978355,0.4084398798295256,0.8354978354978355,0.4247094162204519
OSA,0.8787878787878788,0.5891632373113854,0.8787878787878788,0.3737373737373737,0.8787878787878788,0.3829037361567482
Obesity,0.7181208053691275,0.7396734034795291,0.7181208053691275,0.6879595588235294,0.7181208053691276,0.6879460130313373
PVD,0.8881720430107527,0.6079714179658501,0.8881720430107527,0.4094209883683568,0.8881720430107527,0.4363498718844631
Venous Insufficiency,0.9297423887587822,0.465962441314554,0.9297423887587822,0.49874371859296485,0.9297423887587822,0.4817961165048544
overall,0.8444384376267063,0.5612098620103328,0.8444384376267063,0.5228646615466026,0.8444384376267063,0.5358530417968169
