,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.8895966029723992,0.8772524802591618,0.8895966029723992,0.6359837979856955,0.8895966029723992,0.6805946791862285,5.0,entropy
CAD,0.8558951965065502,0.5713951697199758,0.8558951965065502,0.562804716481187,0.8558951965065502,0.5659311794063567,80.0,entropy
CHF,0.8561643835616438,0.5707117041979427,0.8561643835616438,0.576866545958036,0.8561643835616438,0.573402763517913,50.0,gini
Depression,0.8532494758909853,0.8617516081147947,0.8532494758909853,0.687173579109063,0.8532494758909853,0.7260959443496522,5.0,gini
Diabetes,0.860125260960334,0.8714704803813715,0.860125260960334,0.7917026615656753,0.860125260960334,0.8172557326454728,50.0,entropy
GERD,0.8075117370892019,0.48763059600498027,0.8075117370892019,0.42631755622692175,0.8075117370892019,0.44026683642343706,5.0,gini
Gallstones,0.8920570264765784,0.8795689963090845,0.8920570264765784,0.6939172749391728,0.8920570264765785,0.7428684353539845,5.0,gini
Gout,0.92,0.8820414058738566,0.92,0.7074199932783151,0.92,0.7605822639341122,5.0,gini
Hypercholesterolemia,0.8491879350348028,0.8472789115646259,0.8491879350348028,0.8460033232760505,0.8491879350348028,0.8465982203969884,50.0,entropy
Hypertension,0.8116591928251121,0.7299933862433863,0.8116591928251121,0.5441531234128999,0.8116591928251121,0.5350707371556218,10.0,entropy
Hypertriglyceridemia,0.9588477366255144,0.9087384431852072,0.9588477366255144,0.6189154013015185,0.9588477366255144,0.6768617021276596,5.0,gini
OA,0.8225108225108225,0.506686046511628,0.8225108225108225,0.405745026998433,0.8225108225108225,0.41869748684939795,5.0,gini
OSA,0.9171717171717172,0.59296066252588,0.9171717171717172,0.4825065644737776,0.9171717171717172,0.5166969910068797,5.0,gini
Obesity,0.8411633109619687,0.8691900164822227,0.8411633109619687,0.8202512254901961,0.8411633109619687,0.8292654060306102,80.0,entropy
PVD,0.8774193548387097,0.5400833923373456,0.8774193548387097,0.4009510956879378,0.8774193548387098,0.42195923734385277,5.0,entropy
Venous Insufficiency,0.9297423887587822,0.6336477987421384,0.9297423887587822,0.5147288164962744,0.9297423887587822,0.5130018248175182,5.0,gini
overall,0.8725503446411678,0.5749787775891341,0.8725503446411678,0.5562672158578968,0.8725503446411678,0.5640488824150754,,
