,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9235668789808917,0.8966893761975729,0.9235668789808917,0.771967595971391,0.9235668789808917,0.8175989672977626,0.1,linear
CAD,0.8799126637554585,0.5838299838299839,0.8799126637554585,0.5849297827239004,0.8799126637554585,0.5843788742871311,0.01,linear
CHF,0.8949771689497716,0.5981916511745817,0.8949771689497716,0.6009301665069052,0.8949771689497716,0.5990310519074289,0.01,linear
Depression,0.8909853249475891,0.8836640532852286,0.8909853249475891,0.7831413210445468,0.8909853249475891,0.8188537041364805,0.1,linear
Diabetes,0.8768267223382046,0.8542844848782887,0.8768267223382046,0.8556398864618042,0.8768267223382046,0.8549565038877056,0.1,linear
GERD,0.8568075117370892,0.558197177398958,0.8568075117370892,0.4783917530238551,0.8568075117370892,0.5012712743877127,0.1,linear
Gallstones,0.8737270875763747,0.8491592101203332,0.8737270875763747,0.6376672749391727,0.8737270875763747,0.6774938554114756,0.1,linear
Gout,0.948,0.9383601679154047,0.948,0.8080585533440383,0.948,0.8580724049085113,0.1,linear
Hypercholesterolemia,0.8677494199535963,0.8668475919703627,0.8677494199535963,0.8723818269272814,0.8677494199535963,0.867105554984556,100.0,rbf
Hypertension,0.9147982062780269,0.8875148544266191,0.9147982062780269,0.8312277805992889,0.9147982062780269,0.8552937158469945,0.1,linear
Hypertriglyceridemia,0.9526748971193416,0.9762396694214877,0.9526748971193416,0.54,0.9526748971193417,0.5619047619047619,0.1,linear
OA,0.8636363636363636,0.5420875420875421,0.8636363636363636,0.4973800041919933,0.8636363636363636,0.5138783381055338,1.0,linear
OSA,0.9434343434343434,0.6319887493997394,0.9434343434343434,0.539623400279138,0.9434343434343434,0.5738589514773877,100.0,rbf
Obesity,0.9440715883668904,0.9511834943673263,0.9440715883668904,0.9368259803921568,0.9440715883668904,0.9421239350545096,0.01,linear
PVD,0.9440860215053763,0.6213029576338929,0.9440860215053763,0.5556326714221451,0.9440860215053763,0.5822994389496211,0.1,linear
Venous Insufficiency,0.9391100702576113,0.8285714285714285,0.9391100702576113,0.5836943337376538,0.9391100702576113,0.6229964683509917,100.0,rbf
overall,0.9076902284092445,0.6055227093883901,0.9076902284092445,0.5830840520015447,0.9076902284092445,0.5924274834934914,,
