,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.970276008492569,0.9498809889434889,0.970276008492569,0.9276200554663553,0.970276008492569,0.938327721661055
CAD,0.8864628820960698,0.5903797299104158,0.8864628820960698,0.5880299417064122,0.8864628820960698,0.5891259325797839
CHF,0.8835616438356164,0.5916292217792123,0.8835616438356164,0.5945042070508041,0.8835616438356163,0.593059736295417
Depression,0.9643605870020965,0.9554111405835544,0.9643605870020965,0.9395545314900153,0.9643605870020965,0.947188120746361
Diabetes,0.9039665970772442,0.5959672021419009,0.9039665970772442,0.5911322281185295,0.9039665970772442,0.5935355630455449
GERD,0.892018779342723,0.5665526675786593,0.892018779342723,0.5553498142914379,0.892018779342723,0.5605130894992604
Gallstones,0.9572301425661914,0.9501020839200225,0.9572301425661914,0.8888838199513382,0.9572301425661914,0.9159965782720274
Gout,0.984,0.9626573060980619,0.984,0.9626573060980619,0.984,0.9626573060980619
Hypercholesterolemia,0.9002320185614849,0.8985367984276043,0.9002320185614849,0.898989898989899,0.9002320185614849,0.8987583102530905
Hypertension,0.9260089686098655,0.8923558261457805,0.9260089686098655,0.8682072117826307,0.9260089686098655,0.87954528714184
Hypertriglyceridemia,0.9794238683127572,0.9065639966194009,0.9794238683127572,0.8756616052060737,0.9794238683127572,0.890422077922078
OA,0.9329004329004329,0.6001105812426567,0.9329004329004329,0.6035771676098651,0.9329004329004329,0.6018344798832603
OSA,0.9939393939393939,0.6559376017110709,0.9939393939393939,0.6616161616161617,0.9939393939393939,0.6587580061264272
Obesity,0.9373601789709173,0.9360906862745098,0.9373601789709173,0.9360906862745098,0.9373601789709173,0.9360906862745098
PVD,0.9548387096774194,0.5988656133075952,0.9548387096774194,0.6199087462245357,0.9548387096774195,0.6088198204880944
Venous Insufficiency,0.9297423887587822,0.7259267804953085,0.9297423887587822,0.7545052850459193,0.9297423887587822,0.7391251221896383
overall,0.9386403568049736,0.6198489009023733,0.9386403568049736,0.61979162197337,0.9386403568049736,0.6198185537558972
