,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9639065817409767,0.9389005602240896,0.9639065817409767,0.9116734783243322,0.9639065817409767,0.9246336160239456,entropy
CAD,0.8646288209606987,0.5746224165341812,0.8646288209606987,0.5746224165341812,0.8646288209606987,0.5746224165341812,entropy
CHF,0.867579908675799,0.5809483607710707,0.867579908675799,0.5836333297830795,0.867579908675799,0.5822877407248382,gini
Depression,0.9538784067085954,0.9474786442546156,0.9538784067085954,0.9157450076804916,0.9538784067085954,0.9304111405835545,gini
Diabetes,0.8977035490605428,0.5862113515976146,0.8977035490605428,0.5881292251155265,0.8977035490605428,0.5871302507382183,gini
GERD,0.8849765258215962,0.5626409017713366,0.8849765258215962,0.5420199460741318,0.8849765258215962,0.5510440046249064,entropy
Gallstones,0.9572301425661914,0.9398893360160966,0.9572301425661914,0.8989507299270073,0.9572301425661914,0.9178281970975686,gini
Gout,0.978,0.641023656579728,0.978,0.6300832742074013,0.978,0.6354681363233244,entropy
Hypercholesterolemia,0.9002320185614849,0.8985367984276043,0.9002320185614849,0.898989898989899,0.9002320185614849,0.8987583102530905,gini
Hypertension,0.905829596412556,0.8648293029871977,0.905829596412556,0.825641188420518,0.905829596412556,0.8431050656660413,gini
Hypertriglyceridemia,0.9732510288065843,0.8588628762541806,0.9732510288065843,0.8724078091106291,0.9732510288065843,0.8654914734623491,entropy
OA,0.9393939393939394,0.5993265993265994,0.9393939393939394,0.6200756554979988,0.9393939393939394,0.609180485460226,gini
OSA,0.9939393939393939,0.6559376017110709,0.9939393939393939,0.6616161616161617,0.9939393939393939,0.6587580061264272,gini
Obesity,0.9485458612975392,0.9497524241799051,0.9485458612975392,0.9452512254901961,0.9485458612975392,0.9472523074870838,entropy
PVD,0.9612903225806452,0.6083785412899337,0.9612903225806452,0.6267077951288478,0.9612903225806452,0.6171346829617191,gini
Venous Insufficiency,0.9156908665105387,0.6670421070871599,0.9156908665105387,0.6670421070871599,0.9156908665105387,0.6670421070871599,entropy
overall,0.9330990674415461,0.6159386258452962,0.9330990674415461,0.6148573389968679,0.9330990674415461,0.6153884603127805,
