,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9002123142250531,0.9095515695067264,0.9002123142250531,0.6666362574806597,0.9002123142250531,0.7196322048710058
CAD,0.8777292576419214,0.5824738178356078,0.8777292576419214,0.5831279809220985,0.8777292576419214,0.5827948023069974
CHF,0.8493150684931506,0.5665126050420168,0.8493150684931506,0.5706251997017787,0.8493150684931505,0.5684193829804108
Depression,0.8574423480083857,0.8814814814814815,0.8574423480083857,0.6898617511520737,0.8574423480083857,0.731044776119403
Diabetes,0.8810020876826722,0.8653962101636521,0.8810020876826722,0.8490271093010819,0.8810020876826722,0.8564790235338027
GERD,0.8145539906103286,0.5088082901554404,0.8145539906103286,0.42160716412738636,0.8145539906103286,0.4369571068536054
Gallstones,0.8370672097759674,0.6713250517598344,0.8370672097759674,0.5201338199513382,0.8370672097759674,0.5007118161480577
Gout,0.898,0.8566632231404958,0.898,0.603140520557153,0.898,0.6412038665559793
Hypercholesterolemia,0.8074245939675174,0.8053074433656958,0.8074245939675174,0.8093926275744457,0.8074245939675174,0.8060716125010166
Hypertension,0.8542600896860987,0.8154827168330545,0.8542600896860987,0.6735335195530726,0.8542600896860987,0.709201432426197
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8095238095238095,0.48343976160068114,0.8095238095238095,0.38652174346997237,0.8095238095238095,0.3928033024782676
OSA,0.907070707070707,0.6342494714587738,0.907070707070707,0.4444444444444444,0.907070707070707,0.482962962962963
Obesity,0.8366890380313199,0.8397045677067814,0.8366890380313199,0.8259803921568627,0.8366890380313199,0.8304116665713855
PVD,0.9053763440860215,0.620275888133031,0.9053763440860215,0.45044662939399777,0.9053763440860215,0.4881576600677724
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.8706581970536559,0.5797811118675765,0.8706581970536559,0.5483469916048112,0.8706581970536559,0.5601534798773623
