,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9002123142250531,0.8716275659824047,0.9002123142250531,0.6849729966428258,0.9002123142250531,0.7347496315467845,100.0
CAD,0.8777292576419214,0.5824738178356078,0.8777292576419214,0.5831279809220985,0.8777292576419214,0.5827948023069974,1.0
CHF,0.8447488584474886,0.5634695719713668,0.8447488584474886,0.5677139915503958,0.8447488584474886,0.5654805950795295,0.01
Depression,0.8553459119496856,0.8640734265734266,0.8553459119496856,0.6919354838709677,0.8553459119496856,0.7314386428728794,100.0
Diabetes,0.8789144050104384,0.859945217024863,0.8789144050104384,0.8513719198650705,0.8789144050104384,0.8554466366966367,100.0
GERD,0.8262910798122066,0.5208181290817567,0.8262910798122066,0.4421054911260544,0.8262910798122065,0.46049631120053663,100.0
Gallstones,0.835030549898167,0.6433840479483632,0.835030549898167,0.5189172749391727,0.835030549898167,0.49959107666368885,100.0
Gout,0.902,0.853125,0.902,0.6265917323275702,0.902,0.6708714517927431,100.0
Hypercholesterolemia,0.8004640371229699,0.7975004332004851,0.8004640371229699,0.8002973457518912,0.8004640371229699,0.7984579581538997,0.1
Hypertension,0.8609865470852018,0.826304347826087,0.8609865470852018,0.6905789740985272,0.8609865470852018,0.7277596187925808,100.0
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01
OA,0.8095238095238095,0.48343976160068114,0.8095238095238095,0.38652174346997237,0.8095238095238095,0.3928033024782676,1.0
OSA,0.9111111111111111,0.6232846755234815,0.9111111111111111,0.45881531947105714,0.9111111111111111,0.49812370600414074,100.0
Obesity,0.8411633109619687,0.8435672514619883,0.8411633109619687,0.8311887254901961,0.8411633109619687,0.8353488661655071,100.0
PVD,0.9075268817204301,0.610772873329951,0.9075268817204301,0.45986761776235463,0.9075268817204301,0.4973681020899347,100.0
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424,0.1
overall,0.8716042708474118,0.5793657005005851,0.8716042708474118,0.5503343773687447,0.8716042708474117,0.5614580944530183,
