,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.940552016985138,0.9566267066267067,0.940552016985138,0.8002298934462122,0.9405520169851379,0.8559003496503497
CAD,0.7882096069868996,0.5205802767084854,0.7882096069868996,0.5202040275569687,0.7882096069868996,0.5203400121432908
CHF,0.7579908675799086,0.5049856204211013,0.7579908675799086,0.5089927929846984,0.7579908675799086,0.5068887996222612
Depression,0.859538784067086,0.9014778325123152,0.859538784067086,0.6877880184331797,0.859538784067086,0.7305970715423715
Diabetes,0.8204592901878914,0.7970055710306407,0.8204592901878914,0.7631741330371468,0.8204592901878914,0.7762071363379547
GERD,0.7887323943661971,0.4692343654475492,0.7887323943661971,0.37444910069410603,0.7887323943661971,0.3729211688433712
Gallstones,0.8431771894093686,0.8218106995884774,0.8431771894093686,0.5237834549878345,0.8431771894093686,0.5041379762607384
Gout,0.892,0.8559211749395799,0.892,0.5714925874752604,0.892,0.595905172413793
Hypercholesterolemia,0.6867749419953596,0.687513459964681,0.6867749419953596,0.690366872185054,0.6867749419953596,0.6858006858006858
Hypertension,0.8183856502242153,0.7542832491063725,0.8183856502242153,0.56548374809548,0.8183856502242153,0.5699029704149057
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8528138528138528,0.5858585858585859,0.8528138528138528,0.44049864758311624,0.8528138528138528,0.46614794402118115
OSA,0.8848484848484849,0.6022981168209384,0.8848484848484849,0.39315875381449156,0.8848484848484849,0.4136970659091226
Obesity,0.6778523489932886,0.6962884054720789,0.6778523489932886,0.6430147058823529,0.6778523489932886,0.6363554189641145
PVD,0.864516129032258,0.5270326471199834,0.864516129032258,0.35730351519825204,0.864516129032258,0.35512554561562726
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.836869847276659,0.5517236265854696,0.836869847276659,0.5192850502710201,0.836869847276659,0.5306744889576102
