,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.9639065817409767,0.9567759979659293,0.9639065817409767,0.893336739162166,0.9639065817409767,0.9215960832313341,5.0,gini
CAD,0.8602620087336245,0.5825486777099681,0.8602620087336245,0.560645204027557,0.8602620087336245,0.5669483916906598,100.0,gini
CHF,0.8515981735159818,0.5674491392801252,0.8515981735159818,0.5732736890687684,0.8515981735159818,0.5702351593842435,50.0,entropy
Depression,0.80083857442348,0.7187192118226602,0.80083857442348,0.6023041474654378,0.80083857442348,0.6180107730824672,5.0,entropy
Diabetes,0.8204592901878914,0.7909258057538395,0.8204592901878914,0.7766362252663622,0.8204592901878914,0.7830067425200168,10.0,entropy
GERD,0.8075117370892019,0.4984493797519008,0.8075117370892019,0.4057001158648172,0.8075117370892019,0.4167238431295673,5.0,entropy
Gallstones,0.8472505091649695,0.7886363636363636,0.8472505091649695,0.5463503649635036,0.8472505091649695,0.5458245458245459,5.0,gini
Gout,0.922,0.9082929782082325,0.922,0.701501176294858,0.922,0.7594938270082265,5.0,gini
Hypercholesterolemia,0.7981438515081206,0.7960491367861886,0.7981438515081206,0.7924373606191788,0.7981438515081206,0.7938785270205644,100.0,entropy
Hypertension,0.8094170403587444,0.688651379712398,0.8094170403587444,0.5770378364652108,0.8094170403587444,0.587876547773055,10.0,entropy
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,5.0,gini
OA,0.8636363636363636,0.5551044886285003,0.8636363636363636,0.4780968350450639,0.8636363636363636,0.5011454753722795,5.0,gini
OSA,0.8929292929292929,0.6298611111111111,0.8929292929292929,0.4090909090909091,0.892929292929293,0.4373119904174663,100.0,gini
Obesity,0.8008948545861297,0.8348819875776398,0.8008948545861297,0.7753063725490197,0.8008948545861297,0.7824984008441356,100.0,gini
PVD,0.8666666666666667,0.48691665206471585,0.8666666666666667,0.4010667694878221,0.8666666666666667,0.41856154982646626,5.0,gini
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424,80.0,entropy
overall,0.8626841465062847,0.5685364422448821,0.8626841465062847,0.5461816907652923,0.8626841465062847,0.5551128936196149,,
