,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8556263269639066,0.4278131634819533,0.8556263269639066,0.5,0.8556263269639066,0.4610983981693364
CAD,0.5938864628820961,0.19796215429403205,0.5938864628820961,0.3333333333333333,0.5938864628820961,0.2484018264840183
CHF,0.5228310502283106,0.17427701674277019,0.5228310502283106,0.3333333333333333,0.5228310502283106,0.22888555722138934
Depression,0.779874213836478,0.389937106918239,0.779874213836478,0.5,0.779874213836478,0.4381625441696113
Diabetes,0.6951983298538622,0.3475991649269311,0.6951983298538622,0.5,0.6951983298538622,0.41009852216748766
GERD,0.7769953051643192,0.2589984350547731,0.7769953051643192,0.3333333333333333,0.7769953051643192,0.2915015411712902
Gallstones,0.8370672097759674,0.4185336048879837,0.8370672097759674,0.5,0.8370672097759674,0.4556541019955654
Gout,0.878,0.439,0.878,0.5,0.878,0.4675186368477103
Hypercholesterolemia,0.5614849187935035,0.28074245939675174,0.5614849187935035,0.5,0.5614849187935035,0.35958395245170877
Hypertension,0.8026905829596412,0.4013452914798206,0.8026905829596412,0.5,0.8026905829596412,0.44527363184079605
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.7943722943722944,0.2647907647907648,0.7943722943722944,0.3333333333333333,0.7943722943722944,0.29513470044229995
OSA,0.8626262626262626,0.28754208754208754,0.8626262626262626,0.3333333333333333,0.8626262626262626,0.30874909616775126
Obesity,0.5704697986577181,0.28523489932885904,0.5704697986577181,0.5,0.5704697986577181,0.36324786324786323
PVD,0.8580645161290322,0.2860215053763441,0.8580645161290322,0.3333333333333333,0.8580645161290322,0.3078703703703704
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.7699689147182052,0.48952502124627023,0.7699689147182052,0.46937887043949605,0.7699689147182052,0.4762510489012599
