,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.970276008492569,0.944668911335578,0.970276008492569,0.933732301853744,0.970276008492569,0.9390978276932171
CAD,0.7969432314410481,0.5275091719077568,0.7969432314410481,0.5297164811870694,0.7969432314410481,0.528478777371091
CHF,0.8515981735159818,0.5689958527083071,0.8515981735159818,0.573784925622182,0.8515981735159818,0.5709782731059326
Depression,0.9685534591194969,0.9617374005305039,0.9685534591194969,0.9456605222734256,0.9685534591194969,0.9534012830114951
Diabetes,0.9123173277661796,0.9017489056058481,0.9123173277661796,0.88885803611831,0.9123173277661796,0.8948990679984954
GERD,0.8943661971830986,0.5675566871219045,0.8943661971830986,0.5666655838179081,0.8943661971830986,0.5671008357755345
Gallstones,0.955193482688391,0.943140731469893,0.955193482688391,0.8876672749391727,0.955193482688391,0.9124862272344287
Gout,0.972,0.6244555990256145,0.972,0.6278053698793831,0.972,0.6261090693098712
Hypercholesterolemia,0.8955916473317865,0.5976114930371937,0.8955916473317865,0.5954130045039135,0.8955916473317865,0.5964883401920439
Hypertension,0.8901345291479821,0.8259371164196015,0.8901345291479821,0.8287201625190452,0.8901345291479821,0.8273161866382206
Hypertriglyceridemia,0.9670781893004116,0.8137668071442905,0.9670781893004116,0.9069848156182212,0.9670781893004116,0.853316230287482
OA,0.9329004329004329,0.5911220043572984,0.9329004329004329,0.6173508598576719,0.9329004329004329,0.6032836579693206
OSA,0.98989898989899,0.6548562548562549,0.98989898989899,0.6515151515151515,0.98989898989899,0.6531652041568572
Obesity,0.9351230425055929,0.9331807081807082,0.9351230425055929,0.9347732843137255,0.9351230425055929,0.9339326942189196
PVD,0.9591397849462365,0.6093777344433611,0.9591397849462365,0.617286806760491,0.9591397849462365,0.6132656552982776
Venous Insufficiency,0.9039812646370023,0.6388639425235744,0.9039812646370023,0.6607607000519841,0.9039812646370023,0.6486866132883833
overall,0.9263413974861467,0.6093425457368895,0.9263413974861467,0.6114283262539152,0.9263413974861467,0.6103766163340437
