,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.970276008492569,0.9498809889434889,0.970276008492569,0.9276200554663553,0.970276008492569,0.938327721661055,gini
CAD,0.8209606986899564,0.5426338474321026,0.8209606986899564,0.5472310545839958,0.8209606986899562,0.544614507456231,gini
CHF,0.8767123287671232,0.5851851851851851,0.8767123287671232,0.5889445095324316,0.8767123287671232,0.5868142449750539,entropy
Depression,0.9664570230607966,0.9539873319142309,0.9664570230607966,0.9477342549923196,0.9664570230607966,0.9508146009486493,gini
Diabetes,0.8997912317327766,0.882825456053068,0.8997912317327766,0.8798490271093011,0.8997912317327766,0.88131323559777,gini
GERD,0.9061032863849765,0.5864884393063584,0.9061032863849765,0.5613921103639455,0.9061032863849765,0.5723197946283473,entropy
Gallstones,0.9490835030549898,0.9153044871794872,0.9490835030549898,0.8940845498783455,0.9490835030549898,0.904239965674611,entropy
Gout,0.976,0.9387236206458174,0.976,0.9510437282945592,0.976,0.9447635881573133,entropy
Hypercholesterolemia,0.8979118329466357,0.8976842058875374,0.8979118329466357,0.8946062355153264,0.8979118329466356,0.8959622558700899,entropy
Hypertension,0.9013452914798207,0.8459625322997416,0.9013452914798207,0.8399885728796344,0.9013452914798207,0.8429225498671278,gini
Hypertriglyceridemia,0.9609053497942387,0.7979096989966555,0.9609053497942387,0.8091540130151844,0.9609053497942387,0.8034106150603564,entropy
OA,0.9329004329004329,0.5911220043572984,0.9329004329004329,0.6173508598576719,0.9329004329004329,0.6032836579693206,gini
OSA,0.9838383838383838,0.6554675273865415,0.9838383838383838,0.6449033662148417,0.9838383838383838,0.6501097183394956,gini
Obesity,0.9239373601789709,0.9213824996957527,0.9239373601789709,0.9243259803921569,0.9239373601789709,0.9226800976800977,gini
PVD,0.9612903225806452,0.6109300143231096,0.9612903225806452,0.6224150118886961,0.9612903225806452,0.6165224619337288,gini
Venous Insufficiency,0.8735362997658079,0.5515939015939015,0.8735362997658079,0.5645035522439785,0.873536299765808,0.5566451315182279,entropy
overall,0.9266117042843628,0.6100893640520494,0.9266117042843628,0.61051229244433,0.9266117042843628,0.610300405175262,
