,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9002123142250531,0.9477777777777778,0.9002123142250531,0.6544117647058824,0.9002123142250531,0.7084052320297167
CAD,0.8733624454148472,0.5797765036895471,0.8733624454148472,0.5795243773184949,0.8733624454148472,0.579615744147656
CHF,0.8972602739726028,0.5988590091321321,0.8972602739726028,0.6028970071360102,0.8972602739726028,0.6006741699811007
Depression,0.8846960167714885,0.8983812949640287,0.8846960167714885,0.7551843317972351,0.8846960167714885,0.7984790874524714
Diabetes,0.8977035490605428,0.8808899433899434,0.8977035490605428,0.8764243695750544,0.8977035490605428,0.8786030898774704
GERD,0.8615023474178404,0.5877912036755925,0.8615023474178404,0.4700971315336387,0.8615023474178404,0.4974323062558357
Gallstones,0.8553971486761711,0.8816287878787878,0.8553971486761711,0.5612834549878345,0.8553971486761711,0.5700472367139033
Gout,0.922,0.9082929782082325,0.922,0.701501176294858,0.922,0.7594938270082265
Hypercholesterolemia,0.8561484918793504,0.8537723619393311,0.8561484918793504,0.8579955398137216,0.8561484918793504,0.8549609205384281
Hypertension,0.9035874439461884,0.8841850055949272,0.9035874439461884,0.7942483494159471,0.9035874439461884,0.8286010492354166
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.854978354978355,0.5590111642743222,0.854978354978355,0.4579353434939266,0.854978354978355,0.48266100495399855
OSA,0.9171717171717172,0.6374643874643874,0.9171717171717172,0.4696969696969697,0.9171717171717172,0.5116117018081336
Obesity,0.930648769574944,0.9370385215813679,0.930648769574944,0.9231311274509804,0.930648769574944,0.9282336794675919
PVD,0.9311827956989247,0.6333203833203833,0.9311827956989247,0.5119850909324594,0.9311827956989247,0.551473987978508
Venous Insufficiency,0.936768149882904,0.8442671394799055,0.936768149882904,0.5504678565239993,0.936768149882904,0.5744657291551323
overall,0.8984997972699014,0.6022708955577679,0.8984997972699014,0.5719564937572403,0.8984997972699014,0.5838305211719451
