,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9087048832271762,0.9341841841841841,0.9087048832271762,0.6899357757991533,0.9087048832271762,0.7483005033244268,100.0
CAD,0.8733624454148472,0.5797765036895471,0.8733624454148472,0.5795243773184949,0.8733624454148472,0.579615744147656,1.0
CHF,0.8926940639269406,0.5960991638056322,0.8926940639269406,0.599644974615685,0.8926940639269406,0.5975583077520201,0.1
Depression,0.8846960167714885,0.8822163238221632,0.8846960167714885,0.7654377880184332,0.8846960167714885,0.8040599583249312,100.0
Diabetes,0.8977035490605428,0.8788214080813048,0.8977035490605428,0.8802706816405447,0.8977035490605428,0.8795401472965692,100.0
GERD,0.8568075117370892,0.574103237095363,0.8568075117370892,0.4680830328428029,0.8568075117370892,0.49364924279433314,100.0
Gallstones,0.8594704684317719,0.8629551820728292,0.8594704684317719,0.5788169099756691,0.8594704684317718,0.5979469530647362,100.0
Gout,0.932,0.9105990783410138,0.932,0.7495425519997012,0.932,0.8041113569321534,100.0
Hypercholesterolemia,0.8561484918793504,0.8537723619393311,0.8561484918793504,0.8579955398137216,0.8561484918793504,0.8549609205384281,1.0
Hypertension,0.9080717488789237,0.8805020566639756,0.9080717488789237,0.8141823260538343,0.9080717488789237,0.8415355951297716,100.0
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01
OA,0.8528138528138528,0.5428176136634703,0.8528138528138528,0.46529129362916827,0.8528138528138528,0.48729739189205495,10.0
OSA,0.9272727272727272,0.6313131313131314,0.9272727272727272,0.494949494949495,0.9272727272727272,0.5356981892414964,100.0
Obesity,0.930648769574944,0.9370385215813679,0.930648769574944,0.9231311274509804,0.930648769574944,0.9282336794675919,10.0
PVD,0.9311827956989247,0.6189215686274511,0.9311827956989247,0.5205706574127626,0.9311827956989247,0.555308984435198,100.0
Venous Insufficiency,0.9391100702576113,0.8703791469194313,0.9391100702576113,0.5677092358343442,0.9391100702576113,0.6017934002869441,10.0
overall,0.9003919448574131,0.6023573983148451,0.9003919448574131,0.5746429541911585,0.9003919448574131,0.585708960393121,
