,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.881104033970276,0.8295707633124114,0.881104033970276,0.6187965260545906,0.881104033970276,0.6560250391236306,5.0,gini
CAD,0.8493449781659389,0.5691298037483435,0.8493449781659389,0.556246687864335,0.8493449781659389,0.5604949836408314,100.0,entropy
CHF,0.860730593607306,0.5734753550543025,0.860730593607306,0.5790961053715341,0.860730593607306,0.5762428268874183,100.0,entropy
Depression,0.8574423480083857,0.9106954689146469,0.8574423480083857,0.6796082949308756,0.8574423480083857,0.7219135802469137,80.0,entropy
Diabetes,0.8935281837160751,0.9146931499872676,0.8935281837160751,0.8349582459171501,0.8935281837160751,0.862338481998456,50.0,entropy
GERD,0.7723004694835681,0.42407407407407405,0.7723004694835681,0.3751312954119698,0.7723004694835681,0.3763435079759307,5.0,gini
Gallstones,0.8818737270875764,0.9013234077750207,0.8818737270875764,0.6475669099756691,0.8818737270875764,0.6933100715085724,5.0,entropy
Gout,0.914,0.8954831932773109,0.914,0.6687142910489563,0.914,0.7235615557698489,5.0,gini
Hypercholesterolemia,0.8584686774941995,0.8567368883037085,0.8584686774941995,0.8554265599720146,0.8584686774941995,0.8560383299110199,100.0,entropy
Hypertension,0.827354260089686,0.7579867858530898,0.827354260089686,0.6053517013712544,0.827354260089686,0.6266646373944145,10.0,gini
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,10.0,entropy
OA,0.8398268398268398,0.5293650793650794,0.8398268398268398,0.43780379475202363,0.8398268398268398,0.4578027024358864,5.0,gini
OSA,0.898989898989899,0.6317260656883298,0.898989898989899,0.42424242424242425,0.898989898989899,0.4577538980193847,80.0,gini
Obesity,0.8210290827740492,0.8444843112424371,0.8210290827740492,0.800030637254902,0.8210290827740493,0.807865892972276,50.0,gini
PVD,0.9182795698924732,0.6032116032116032,0.9182795698924732,0.4940942098836836,0.9182795698924732,0.5292565488432901,5.0,gini
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424,10.0,gini
overall,0.8733612650358157,0.5778195160386942,0.8733612650358157,0.5544853477496031,0.8733612650358157,0.5638435705993068,,
