,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8556263269639066,0.6816702819956616,0.8556263269639066,0.5305612319369435,0.8556263269639066,0.5247507122507122
CAD,0.5611353711790393,0.43084455324357407,0.5611353711790393,0.4094660837307897,0.5611353711790393,0.3673010307191527
CHF,0.593607305936073,0.4137931034482758,0.593607305936073,0.3886817907480385,0.593607305936073,0.36667352074337356
Depression,0.7148846960167715,0.5282307972333455,0.7148846960167715,0.5198540706605222,0.7148846960167716,0.5176946410515673
Diabetes,0.6471816283924844,0.513693667584408,0.6471816283924844,0.5077748981858571,0.6471816283924844,0.4898635661845795
GERD,0.755868544600939,0.3872366337839484,0.755868544600939,0.35777322981299203,0.7558685446009391,0.35302689289012007
Gallstones,0.780040733197556,0.5379358682319958,0.780040733197556,0.526338199513382,0.780040733197556,0.5273796791443851
Gout,0.824,0.5350363849167981,0.824,0.5257104447514843,0.824,0.527815934065934
Hypercholesterolemia,0.5846867749419954,0.636165663604688,0.5846867749419954,0.6127836809654992,0.5846867749419954,0.574714037650561
Hypertension,0.7219730941704036,0.5224089635854342,0.7219730941704036,0.5182833925850686,0.7219730941704036,0.5183249721293199
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.5411255411255411,0.32784380196595847,0.5411255411255411,0.3289916259943508,0.5411255411255411,0.3101249003454691
OSA,0.8343434343434344,0.4182583781906581,0.8343434343434344,0.40353180517114945,0.8343434343434344,0.40926034158062213
Obesity,0.6174496644295302,0.6157736468015309,0.6174496644295302,0.5778492647058824,0.6174496644295302,0.5596059113300492
PVD,0.8258064516129032,0.3851605758582502,0.8258064516129032,0.3637298374140479,0.8258064516129032,0.3674306393244873
Venous Insufficiency,0.9344262295081968,0.9671361502347418,0.9344262295081968,0.5172413793103449,0.9344262295081968,0.5163430420711975
overall,0.7359102581429923,0.45896211046395474,0.7359102581429923,0.4380121851804179,0.7359102581429922,0.4438484427253937
