,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9681528662420382,0.9537984806077568,0.9681528662420382,0.914154867902496,0.9681528662420382,0.9326353728653566
CAD,0.8471615720524017,0.5644498844009248,0.8471615720524017,0.5584790673025967,0.8471615720524016,0.5609482572203028
CHF,0.8744292237442922,0.5862151828057305,0.8744292237442922,0.5876593176412114,0.8744292237442923,0.5867859318120653
Depression,0.9622641509433962,0.9538239538239539,0.9622641509433962,0.9347926267281106,0.9622641509433962,0.9438823529411764
Diabetes,0.8893528183716075,0.583813172934906,0.8893528183716075,0.5738683889368822,0.8893528183716075,0.5785231709149882
GERD,0.8849765258215962,0.5556201362652976,0.8849765258215962,0.5574830263457103,0.8849765258215962,0.5565487757481539
Gallstones,0.9572301425661914,0.9501020839200225,0.9572301425661914,0.8888838199513382,0.9572301425661914,0.9159965782720274
Gout,0.984,0.646962794229309,0.984,0.641771537398708,0.984,0.6443457143395018
Hypercholesterolemia,0.8955916473317865,0.8935669456066946,0.8955916473317865,0.8948576675849402,0.8955916473317865,0.894167335112217
Hypertension,0.92152466367713,0.8820903448504762,0.92152466367713,0.8654139156932452,0.92152466367713,0.8733889740532561
Hypertriglyceridemia,0.9711934156378601,0.8343140730237504,0.9711934156378601,0.9091540130151844,0.9711934156378601,0.8673580786026202
OA,0.9372294372294372,0.6836858338841155,0.9372294372294372,0.7071019353035702,0.9372294372294372,0.6943739743010915
OSA,0.9858585858585859,0.6559302543884352,0.9858585858585859,0.658493601116552,0.9858585858585859,0.6571893894548356
Obesity,0.9261744966442953,0.6176157748322697,0.9261744966442953,0.6170955882352941,0.9261744966442953,0.6173365627331351
PVD,0.956989247311828,0.6027727546714888,0.956989247311828,0.6207441681125893,0.956989247311828,0.6113567807942283
Venous Insufficiency,0.9297423887587822,0.7242587161942,0.9297423887587822,0.7385201871426097,0.9297423887587822,0.7311083123425693
overall,0.9321529936477903,0.6386026261359842,0.9321529936477903,0.6397543758568344,0.9321529936477903,0.6391735207214101
