,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9681528662420382,0.9427624100037892,0.9681528662420382,0.9263793606772734,0.9681528662420382,0.9343383179828434,entropy
CAD,0.8537117903930131,0.566595249060558,0.8537117903930131,0.5650370959194488,0.8537117903930131,0.5656947408308569,gini
CHF,0.865296803652968,0.5781999495077,0.865296803652968,0.5818369013384457,0.865296803652968,0.5799948489435042,entropy
Depression,0.9559748427672956,0.9398823529411764,0.9559748427672956,0.9307603686635945,0.9559748427672956,0.9352191374192422,gini
Diabetes,0.8914405010438413,0.5842913496759651,0.8914405010438413,0.5774335979815431,0.8914405010438413,0.5807252856433184,gini
GERD,0.892018779342723,0.5710982658959538,0.892018779342723,0.5476182741556487,0.892018779342723,0.5578048912378367,entropy
Gallstones,0.955193482688391,0.9334891275523733,0.955193482688391,0.8977341849148419,0.955193482688391,0.9143785668991756,entropy
Gout,0.984,0.646962794229309,0.984,0.641771537398708,0.984,0.6443457143395018,gini
Hypercholesterolemia,0.8700696055684455,0.8675967986156176,0.8700696055684455,0.8715510079146442,0.8700696055684455,0.8688830943068231,entropy
Hypertension,0.9125560538116592,0.869727718586166,0.9125560538116592,0.8469718131030981,0.9125560538116592,0.8576444302585382,gini
Hypertriglyceridemia,0.977366255144033,0.8893398268398268,0.977366255144033,0.8745770065075922,0.977366255144033,0.8817962721383243,gini
OA,0.9112554112554112,0.573713693922704,0.9112554112554112,0.5889850385763192,0.9112554112554112,0.5810758438941208,entropy
OSA,0.9939393939393939,0.6559376017110709,0.9939393939393939,0.6616161616161617,0.9939393939393939,0.6587580061264272,gini
Obesity,0.9351230425055929,0.9340539103403142,0.9351230425055929,0.9334865196078431,0.9351230425055929,0.9337652583119159,gini
PVD,0.9419354838709677,0.5775427321819074,0.9419354838709677,0.6148962148962149,0.9419354838709677,0.5941979705424414,gini
Venous Insufficiency,0.9156908665105387,0.6670421070871599,0.9156908665105387,0.6670421070871599,0.9156908665105387,0.6670421070871599,entropy
overall,0.9280983916745507,0.6112903447046075,0.9280983916745507,0.6116338439095551,0.9280983916745507,0.6114609645244321,
