,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9023354564755839,0.928831096196868,0.9023354564755839,0.6678769522697416,0.9023354564755839,0.7229411764705882
CAD,0.8733624454148472,0.5801492139621636,0.8733624454148472,0.5789480657127716,0.8733624454148472,0.5794603569946036
CHF,0.8424657534246576,0.5618111971786637,0.8424657534246576,0.5660879752902332,0.8424657534246577,0.5638385589547348
Depression,0.8574423480083857,0.8814814814814815,0.8574423480083857,0.6898617511520737,0.8574423480083857,0.731044776119403
Diabetes,0.8747390396659708,0.8559437290152578,0.8747390396659708,0.8445226047965774,0.8747390396659708,0.8498558114264221
GERD,0.8145539906103286,0.5088082901554404,0.8145539906103286,0.42160716412738636,0.8145539906103286,0.4369571068536054
Gallstones,0.8370672097759674,0.6713250517598344,0.8370672097759674,0.5201338199513382,0.8370672097759674,0.5007118161480577
Gout,0.898,0.8566632231404958,0.898,0.603140520557153,0.898,0.6412038665559793
Hypercholesterolemia,0.802784222737819,0.8006580366774542,0.802784222737819,0.8046810092264638,0.802784222737819,0.8013986393082699
Hypertension,0.852017937219731,0.8116454502593116,0.852017937219731,0.6678517013712544,0.852017937219731,0.7028467595396729
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8073593073593074,0.47806398494471897,0.8073593073593074,0.3828587398069687,0.8073593073593074,0.38755663413197666
OSA,0.9030303030303031,0.6183932346723044,0.9030303030303031,0.43861329926903697,0.9030303030303031,0.4746464646464646
Obesity,0.8389261744966443,0.8416330431089403,0.8389261744966443,0.8285845588235294,0.8389261744966443,0.8328833132555145
PVD,0.9053763440860215,0.620275888133031,0.9053763440860215,0.45044662939399777,0.9053763440860215,0.4881576600677724
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.86903635626436,0.5782359111530696,0.86903635626436,0.5471600806624619,0.86903635626436,0.5588370456960398
