,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9044585987261147,0.9007645498517709,0.9044585987261147,0.6874543862209896,0.9044585987261147,0.741414018178491,100.0
CAD,0.87117903930131,0.5797274103987885,0.87117903930131,0.5759936406995231,0.87117903930131,0.5775275275275276,0.1
CHF,0.8424657534246576,0.5618392347709347,0.8424657534246576,0.5662583874747044,0.8424657534246577,0.5639692478402155,0.01
Depression,0.8574423480083857,0.8663456036620256,0.8574423480083857,0.6966973886328724,0.8574423480083857,0.7367207792207793,100.0
Diabetes,0.8789144050104384,0.859945217024863,0.8789144050104384,0.8513719198650705,0.8789144050104384,0.8554466366966367,100.0
GERD,0.823943661971831,0.511575452462152,0.823943661971831,0.4410984417806365,0.823943661971831,0.4581178218084401,100.0
Gallstones,0.835030549898167,0.6433840479483632,0.835030549898167,0.5189172749391727,0.835030549898167,0.49959107666368885,100.0
Gout,0.9,0.8469197942882154,0.9,0.6183950110160947,0.9,0.6603260869565217,100.0
Hypercholesterolemia,0.8074245939675174,0.804768904838082,0.8074245939675174,0.8082338536883991,0.8074245939675174,0.8057514891860926,0.1
Hypertension,0.8587443946188341,0.8178158161360849,0.8587443946188341,0.6891823260538344,0.8587443946188341,0.7250550418317921,100.0
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01
OA,0.816017316017316,0.494718992248062,0.816017316017316,0.4002654929085447,0.816017316017316,0.41160449245646785,100.0
OSA,0.9131313131313131,0.6244064577397911,0.9131313131313131,0.46386582452156216,0.9131313131313131,0.5036983640696021,100.0
Obesity,0.8389261744966443,0.8416330431089403,0.8389261744966443,0.8285845588235294,0.8389261744966443,0.8328833132555145,10.0
PVD,0.9075268817204301,0.6215151515151515,0.9075268817204301,0.455574834522203,0.9075268817204301,0.4940272811548139,100.0
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424,0.1
overall,0.8718745776456278,0.5791615637601818,0.8718745776456278,0.5508676935398521,0.8718745776456278,0.561771247202254,
