,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.861995753715499,0.7662337662337662,0.861995753715499,0.5403955626915778,0.861995753715499,0.5403498235868178,5.0,gini
CAD,0.8646288209606987,0.5826640464798359,0.8646288209606987,0.5654014308426073,0.8646288209606987,0.5708067027204196,100.0,entropy
CHF,0.8584474885844748,0.5721459658520254,0.8584474885844748,0.5772996769269003,0.8584474885844748,0.5747088824499088,80.0,entropy
Depression,0.8385744234800838,0.9142538975501113,0.8385744234800838,0.6333333333333333,0.8385744234800839,0.663632284120777,30.0,gini
Diabetes,0.8204592901878914,0.7949114039073149,0.8204592901878914,0.7670204451026368,0.8204592901878914,0.7782407407407407,10.0,entropy
GERD,0.7511737089201878,0.37319762510602206,0.7511737089201878,0.35060477103163,0.7511737089201878,0.3427314449413897,5.0,gini
Gallstones,0.8513238289205702,0.9245867768595042,0.8513238289205702,0.54375,0.8513238289205702,0.5396776472099145,10.0,gini
Gout,0.9,0.8339795208271199,0.9,0.625452780163561,0.9,0.6678888357511026,5.0,gini
Hypercholesterolemia,0.8051044083526682,0.8021120293847567,0.8051044083526682,0.8021120293847567,0.8051044083526682,0.8021120293847567,100.0,entropy
Hypertension,0.8071748878923767,0.6805365686944634,0.8071748878923767,0.5670708481462672,0.8071748878923767,0.5738979736935657,5.0,gini
Hypertriglyceridemia,0.9567901234567902,0.9782157676348548,0.9567901234567902,0.58,0.9567901234567902,0.6267963579186017,5.0,gini
OA,0.8051948051948052,0.46620046620046623,0.8051948051948052,0.39021468994221037,0.8051948051948051,0.39779542875668666,5.0,gini
OSA,0.8808080808080808,0.5504994450610433,0.8808080808080808,0.3958673384902893,0.8808080808080808,0.4163645733375982,5.0,gini
Obesity,0.8277404921700223,0.8602884336650884,0.8277404921700223,0.8046262254901961,0.8277404921700223,0.8133793843834889,100.0,entropy
PVD,0.8623655913978494,0.47268095173104047,0.8623655913978494,0.41227427543217016,0.8623655913978494,0.4288426433004746,5.0,gini
Venous Insufficiency,0.9297423887587822,0.465962441314554,0.9297423887587822,0.49874371859296485,0.9297423887587822,0.4817961165048544,5.0,gini
overall,0.8524124881740776,0.5626462483470268,0.8524124881740776,0.5349338539208536,0.8524124881740776,0.545388851905609,,
