,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9044585987261147,0.8546118233618234,0.9044585987261147,0.7180156181579331,0.9044585987261147,0.7627735183837931,0.01,linear
CAD,0.8624454148471615,0.5720218579234974,0.8624454148471615,0.5722443031266561,0.8624454148471615,0.572116021513923,0.01,linear
CHF,0.8401826484018264,0.5601890697544331,0.8401826484018264,0.5646323712145418,0.8401826484018263,0.562331246202214,100.0,rbf
Depression,0.8679245283018868,0.8709916864608076,0.8679245283018868,0.7239247311827957,0.8679245283018869,0.7646252535774988,0.1,linear
Diabetes,0.8705636743215032,0.8480721393034826,0.8705636743215032,0.8453659138590646,0.8705636743215032,0.8466962626471196,0.01,linear
GERD,0.8262910798122066,0.5063752276867031,0.8262910798122066,0.4575685713976329,0.8262910798122065,0.47271374674531064,0.1,linear
Gallstones,0.8268839103869654,0.5984115165053363,0.8268839103869654,0.5241180048661801,0.8268839103869654,0.5138330712330362,0.1,linear
Gout,0.906,0.8517156862745098,0.906,0.6500429440979872,0.906,0.6978463516554163,0.1,linear
Hypercholesterolemia,0.8097447795823666,0.8081706108021898,0.8097447795823666,0.8126175171629717,0.8097447795823666,0.8086228556575983,100.0,rbf
Hypertension,0.8677130044843049,0.8229946524064171,0.8677130044843049,0.720479939055358,0.8677130044843049,0.754320445909231,0.1,linear
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01,linear
OA,0.8203463203463204,0.4905936454849498,0.8203463203463204,0.42411993093191996,0.8203463203463204,0.43911836998505344,0.1,linear
OSA,0.9212121212121213,0.6197691197691197,0.9212121212121213,0.48833770964918505,0.9212121212121213,0.527464369984055,0.1,linear
Obesity,0.8456375838926175,0.8447015328376188,0.8456375838926175,0.838970588235294,0.8456375838926175,0.8412878924320625,0.1,linear
PVD,0.9032258064516129,0.5821812596006145,0.9032258064516129,0.46248955722639934,0.9032258064516129,0.4958816860077364,0.1,linear
Venous Insufficiency,0.927400468384075,0.591903073286052,0.927400468384075,0.5134725350892393,0.927400468384075,0.5114236149558927,0.01,linear
overall,0.8726854980402757,0.5775952837587071,0.8726854980402757,0.5536754337037514,0.8726854980402757,0.5632196315138465,,
