,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9722222222222222,0.5266913319238901,0.9722222222222222,0.5938521241830066,0.9722222222222222,0.5441490756360722
CAD,0.7686116700201208,0.3911854654779183,0.7686116700201208,0.40332369409857804,0.7686116700201209,0.3969474153297683
CHF,0.8790322580645161,0.6377748108589231,0.8790322580645161,0.6274284658431001,0.8790322580645161,0.6305193021183475
Depression,0.9723320158102767,0.9583333333333334,0.9723320158102767,0.92594726062468,0.9723320158102767,0.9412662090007629
Diabetes,0.8926441351888668,0.4908874842830411,0.8926441351888668,0.5002169625246549,0.8926441351888668,0.495352715251106
GERD,0.9742063492063492,0.4790338147599187,0.9742063492063492,0.4723282123372494,0.9742063492063492,0.47563170764841733
Gallstones,0.9546351084812623,0.6275143461189973,0.9546351084812623,0.6013767438449834,0.9546351084812623,0.6133034207700567
Gout,0.9861386138613861,0.6407686932215234,0.9861386138613861,0.6444925567442124,0.9861386138613861,0.6425987449243263
Hypercholesterolemia,0.9203187250996016,0.6295442908346134,0.9203187250996016,0.5921613912867888,0.9203187250996016,0.6078567260862835
Hypertension,0.9401197604790419,0.6296060413065235,0.9401197604790419,0.6210500729217306,0.9401197604790419,0.625178610452704
Hypertriglyceridemia,0.9861932938856016,0.8293172690763052,0.9861932938856016,0.7969818913480885,0.9861932938856016,0.8122718857445119
OA,0.9561752988047809,0.9092775041050903,0.9561752988047809,0.9458855098389982,0.9561752988047809,0.9261784444266197
OSA,0.9880715705765407,0.6514023081052067,0.9880715705765407,0.6514023081052067,0.9880715705765407,0.6514023081052067
Obesity,0.9411764705882353,0.47299573707370735,0.9411764705882353,0.4769232113522771,0.9411764705882353,0.4749350086655113
PVD,0.980276134122288,0.9671700223713646,0.980276134122288,0.9419264954853273,0.980276134122288,0.9540594418267487
Venous Insufficiency,0.9842209072978304,0.7836858881483628,0.9842209072978304,0.893963782696177,0.9842209072978304,0.8292929292929292
overall,0.9438090502237693,0.5179207440833212,0.9438090502237693,0.5140776170447919,0.9438090502237693,0.5154314715541815
