,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9801587301587301,0.47511304909560725,0.9801587301587301,0.487234477124183,0.9801587301587301,0.4809827643354325,gini
CAD,0.7545271629778671,0.3818803813038131,0.7545271629778671,0.3955140720548147,0.7545271629778671,0.38823435617603286,entropy
CHF,0.905241935483871,0.602906976744186,0.905241935483871,0.6172764227642277,0.905241935483871,0.6099206349206349,entropy
Depression,0.9723320158102767,0.9529613215149073,0.9723320158102767,0.9317396313364055,0.9723320158102767,0.9419724770642202,gini
Diabetes,0.8866799204771372,0.4947746057021535,0.8866799204771372,0.47419625246548325,0.8866799204771373,0.47836497322326604,entropy
GERD,0.9702380952380952,0.4730247843352047,0.9702380952380952,0.4681276567259096,0.9702380952380952,0.4705247749272321,entropy
Gallstones,0.9467455621301775,0.6184599408898475,0.9467455621301775,0.5951529817228547,0.9467455621301775,0.6059173293215846,entropy
Gout,0.9881188118811881,0.6412345679012346,0.9881188118811881,0.6509028131544689,0.9881188118811881,0.6459530426182466,gini
Hypercholesterolemia,0.9103585657370518,0.5079008501383946,0.9103585657370518,0.5044108738452219,0.9103585657370518,0.505762987012987,gini
Hypertension,0.9441117764471058,0.6333425516224188,0.9441117764471058,0.6209690487765355,0.9441117764471059,0.6267430409910622,gini
Hypertriglyceridemia,0.9901380670611439,0.8616202346041055,0.9901380670611439,0.8969818913480885,0.9901380670611439,0.8784347575888362,gini
OA,0.9561752988047809,0.9141569459172852,0.9561752988047809,0.9366614490161002,0.9561752988047809,0.9248850559077182,gini
OSA,0.9880715705765407,0.48855173107890504,0.9880715705765407,0.48855173107890504,0.9880715705765407,0.48855173107890504,gini
Obesity,0.9574036511156186,0.48302103650041794,0.9574036511156186,0.4838436265771906,0.9574036511156186,0.4833725798011512,gini
PVD,0.9842209072978304,0.9835842101221104,0.9842209072978304,0.9441838318284425,0.9842209072978304,0.9627288098213629,entropy
Venous Insufficiency,0.9842209072978304,0.7836858881483628,0.9842209072978304,0.893963782696177,0.9842209072978304,0.8292929292929292,gini
overall,0.9451765290900049,0.4878213195513872,0.9451765290900049,0.47847214045426545,0.9451765290900049,0.48067141161900573,
