,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9067460317460317,0.45098003629764066,0.9067460317460317,0.3450095315904139,0.9067460317460317,0.3716170904420373
CAD,0.8108651911468813,0.4021805390800053,0.8108651911468813,0.42451466146025196,0.8108651911468813,0.41286929742144274
CHF,0.8790322580645161,0.5887244152046783,0.8790322580645161,0.5943960511033682,0.8790322580645161,0.5907404851454401
Depression,0.9466403162055336,0.9442146089204912,0.9466403162055336,0.8298771121351767,0.9466403162055336,0.8750583006392493
Diabetes,0.8886679920477137,0.43811632493580915,0.8886679920477137,0.45113412228796845,0.8886679920477137,0.444529035470773
GERD,0.9246031746031746,0.47313432835820896,0.9246031746031746,0.37261103859155875,0.9246031746031746,0.40292938768548525
Gallstones,0.8481262327416174,0.5740835030549899,0.8481262327416174,0.38537828374488986,0.8481262327416175,0.3957120631156967
Gout,0.9405940594059405,0.9323109041271881,0.9405940594059405,0.728561725250467,0.9405940594059405,0.7915978870914493
Hypercholesterolemia,0.8605577689243028,0.4341346153846154,0.8605577689243028,0.43457519309404813,0.8605577689243028,0.43297099167411923
Hypertension,0.908183632734531,0.6014791881664947,0.908183632734531,0.5751093825960136,0.908183632734531,0.5859762500072515
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8705179282868526,0.8379014989293362,0.8705179282868526,0.654377236135957,0.8705179282868526,0.694598616661831
OSA,0.9184890656063618,0.6188050719965613,0.9184890656063618,0.48232018250134195,0.9184890656063618,0.5211657464168225
Obesity,0.9371196754563894,0.4715996840996841,0.9371196754563894,0.4708197895914159,0.9371196754563894,0.47069988760162873
PVD,0.9289940828402367,0.9329605263157894,0.9289940828402367,0.7321176636568849,0.9289940828402367,0.7928921568627451
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.908254599701641,0.4537495588141587,0.908254599701641,0.4352959477665752,0.908254599701641,0.4427629805107225
