,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9146825396825397,0.45063965884861407,0.9146825396825397,0.3628131808278867,0.9146825396825397,0.38910918828055124,100.0
CAD,0.8209255533199196,0.40743212073283247,0.8209255533199196,0.43014624622412145,0.8209255533199196,0.4183021888158123,0.1
CHF,0.8830645161290323,0.5921797958949662,0.8830645161290323,0.5967770034843206,0.8830645161290323,0.5934620757189557,10.0
Depression,0.9545454545454546,0.9437541515258079,0.9545454545454546,0.86344726062468,0.9545454545454546,0.8978289306188382,100.0
Diabetes,0.8846918489065606,0.4348147128967162,0.8846918489065606,0.45058185404339246,0.8846918489065606,0.44253056606643726,100.0
GERD,0.9444444444444444,0.47973856209150323,0.9444444444444444,0.4088429226495297,0.9444444444444444,0.4351349225080639,100.0
Gallstones,0.8520710059171598,0.5489130434782609,0.8520710059171598,0.4021430273698876,0.8520710059171598,0.41970049961170947,100.0
Gout,0.9524752475247524,0.9454941860465116,0.9524752475247524,0.7862540329427746,0.9524752475247524,0.8441838938599198,100.0
Hypercholesterolemia,0.8665338645418327,0.4365507392473118,0.8665338645418327,0.437818668282094,0.8665338645418327,0.43599111278794356,10.0
Hypertension,0.9101796407185628,0.6025922492722512,0.9101796407185628,0.5778642035326528,0.9101796407185628,0.5881445842585739,100.0
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
OA,0.8844621513944223,0.8545057562524812,0.8844621513944223,0.6996869409660107,0.8844621513944223,0.7437422988910403,100.0
OSA,0.9264413518886679,0.6095752339812816,0.9264413518886679,0.505703166935051,0.9264413518886679,0.5404814378213999,100.0
Obesity,0.9391480730223124,0.47239150992959966,0.9391480730223124,0.47208241585404215,0.9391480730223124,0.47179110738255026,100.0
PVD,0.9349112426035503,0.9275445658424382,0.9349112426035503,0.7622389954853273,0.9349112426035503,0.8185613742097102,100.0
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
overall,0.9144704127299851,0.45597087211005904,0.9144704127299851,0.44099850251110073,0.9144704127299851,0.44722629880982767,
