,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.876984126984127,0.4686234817813765,0.876984126984127,0.2867647058823529,0.876984126984127,0.2973639031954367
CAD,0.7665995975855131,0.3799507783882784,0.7665995975855131,0.4016752007662271,0.7665995975855131,0.389978354978355
CHF,0.7721774193548387,0.5133406432748537,0.7721774193548387,0.5195412311265969,0.7721774193548387,0.5157200694708027
Depression,0.8636363636363636,0.9314115308151094,0.8636363636363636,0.5208333333333334,0.8636363636363636,0.5031803628601921
Diabetes,0.8290258449304175,0.40608947134247464,0.8290258449304175,0.4048422090729783,0.8290258449304176,0.40445644162001715
GERD,0.8690476190476191,0.46693386773547096,0.8690476190476191,0.26811594202898553,0.8690476190476191,0.26607992112283957
Gallstones,0.8481262327416174,0.5740835030549899,0.8481262327416174,0.38537828374488986,0.8481262327416175,0.3957120631156967
Gout,0.906930693069307,0.8823866896156052,0.906930693069307,0.5565885549329258,0.906930693069307,0.5769840845497157
Hypercholesterolemia,0.7450199203187251,0.37874411245216366,0.7450199203187251,0.36983189459336663,0.745019920318725,0.36830309821617857
Hypertension,0.7884231536926147,0.495360013257105,0.7884231536926147,0.4210014584346135,0.7884231536926147,0.43165477640508093
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8784860557768924,0.9183235867446393,0.8784860557768924,0.6499608676207513,0.8784860557768924,0.6958572946773537
OSA,0.882703777335984,0.6033206738728211,0.882703777335984,0.3953636607622115,0.882703777335984,0.4163974028579029
Obesity,0.7606490872210954,0.3915766052129689,0.7606490872210954,0.3673324944951243,0.7606490872210954,0.36938874756845724
PVD,0.8994082840236687,0.8911764705882352,0.8994082840236687,0.6149301636568849,0.8994082840236687,0.6578539954745742
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.853431128791646,0.4205707892907756,0.853431128791646,0.39419347493326923,0.853431128791646,0.40349056257673266
