,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9325396825396826,0.44368907668493496,0.9325396825396826,0.4082924836601307,0.9325396825396827,0.4230412848759395,0.1,linear
CAD,0.8148893360160966,0.4045246785702542,0.8148893360160966,0.4274386649966846,0.8148893360160966,0.41541114934139645,0.01,linear
CHF,0.8830645161290323,0.5894594594594594,0.8830645161290323,0.5989547038327526,0.8830645161290323,0.5939300411522633,100.0,rbf
Depression,0.9624505928853755,0.9445161059156544,0.9624505928853755,0.8970174091141834,0.9624505928853755,0.9187972465053422,100.0,rbf
Diabetes,0.8846918489065606,0.43634833940196405,0.8846918489065606,0.45150887573964493,0.8846918489065606,0.4437392918332381,0.1,linear
GERD,0.9603174603174603,0.4737900108241843,0.9603174603174603,0.4439200722964153,0.9603174603174603,0.457194557164996,0.1,linear
Gallstones,0.8599605522682445,0.5394550601556971,0.8599605522682445,0.4296045757025793,0.8599605522682445,0.4530531244570039,0.1,linear
Gout,0.9643564356435643,0.9463709677419355,0.9643564356435643,0.852457972491085,0.9643564356435643,0.8923699914748509,0.1,linear
Hypercholesterolemia,0.8745019920318725,0.6869293078055965,0.8745019920318725,0.4849500227169468,0.8745019920318725,0.5114248386924759,0.1,linear
Hypertension,0.9261477045908184,0.6097907733479305,0.9261477045908184,0.6017663263652568,0.9261477045908184,0.6053345895865582,100.0,rbf
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.1,linear
OA,0.900398406374502,0.8764102564102564,0.900398406374502,0.7461985688729875,0.900398406374502,0.7899722194330085,100.0,rbf
OSA,0.9383697813121272,0.6179875051533315,0.9383697813121272,0.5346886741814277,0.9383697813121272,0.5659379534079979,0.1,linear
Obesity,0.9513184584178499,0.47828740844087897,0.9513184584178499,0.4788630247107756,0.9513184584178499,0.478240958810907,0.01,linear
PVD,0.9467455621301775,0.9306637806637806,0.9467455621301775,0.8157978273137698,0.9467455621301775,0.8612296619190025,0.1,linear
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
overall,0.9226752859273993,0.5832040845886443,0.9226752859273993,0.45317738352647874,0.9226752859273994,0.4606520753727865,,
