,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9702380952380952,0.4715711281927545,0.9702380952380952,0.46885212418300654,0.9702380952380952,0.470199100834939
CAD,0.8410462776659959,0.5291000538889887,0.8410462776659959,0.4802699878770018,0.8410462776659958,0.4942334787746569
CHF,0.8951612903225806,0.6446144544031868,0.8951612903225806,0.6391299757153416,0.8951612903225806,0.6408408408408408
Depression,0.9683794466403162,0.9551753393665159,0.9683794466403162,0.9120583717357911,0.9683794466403162,0.9320440504969112
Diabetes,0.8906560636182903,0.47856360506962914,0.8906560636182903,0.478456607495069,0.8906560636182903,0.47841136138529317
GERD,0.9742063492063492,0.4759460547504025,0.9742063492063492,0.47537403353750374,0.9742063492063492,0.47565971349585323
Gallstones,0.9585798816568047,0.6326185442464513,0.9585798816568047,0.6060056096353738,0.9585798816568046,0.6181546249424759
Gout,0.9881188118811881,0.6412345679012346,0.9881188118811881,0.6509028131544689,0.9881188118811881,0.6459530426182466
Hypercholesterolemia,0.9143426294820717,0.658780512663711,0.9143426294820717,0.6288555707001868,0.9143426294820717,0.6394478982503937
Hypertension,0.9281437125748503,0.6112998808923574,0.9281437125748503,0.6138389239993519,0.9281437125748502,0.6125643311214065
Hypertriglyceridemia,0.9921104536489151,0.8979879275653924,0.9921104536489151,0.8979879275653924,0.9921104536489151,0.8979879275653924
OA,0.954183266932271,0.912128017967434,0.954183266932271,0.9308474955277282,0.954183266932271,0.9211225653953095
OSA,0.9920477137176938,0.6518105546861416,0.9920477137176938,0.6610641438539989,0.9920477137176938,0.6563712522045856
Obesity,0.949290060851927,0.4767071659668204,0.949290060851927,0.4803834189647338,0.949290060851927,0.47853739535327344
PVD,0.9664694280078896,0.9134405400039706,0.9664694280078896,0.9407096501128669,0.9664694280078896,0.9264420984356465
Venous Insufficiency,0.9822485207100592,0.7646341463414634,0.9822485207100592,0.8929577464788733,0.9822485207100592,0.8154499494438827
overall,0.9480358030830432,0.5355358595630858,0.9480358030830432,0.5286565977549065,0.9480358030830432,0.5309177098319999
