,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9801587301587301,0.5607446690973373,0.9801587301587301,0.6085580065359477,0.9801587301587301,0.5804356222815591,gini
CAD,0.8128772635814889,0.47157214644651835,0.8128772635814889,0.4575464826560752,0.8128772635814889,0.4623766182608761,entropy
CHF,0.8971774193548387,0.6590038314176246,0.8971774193548387,0.6372716714180129,0.8971774193548387,0.6442839123953675,gini
Depression,0.9683794466403162,0.9496212121212121,0.9683794466403162,0.9178507424475166,0.9683794466403162,0.9328756674294432,gini
Diabetes,0.8966202783300199,0.509344467166553,0.8966202783300199,0.5044773175542406,0.8966202783300199,0.5055082969239596,gini
GERD,0.9742063492063492,0.477620239088129,0.9742063492063492,0.469282391136995,0.9742063492063492,0.4733367429569961,gini
Gallstones,0.960552268244576,0.6336441336441336,0.960552268244576,0.6098370272598947,0.960552268244576,0.6208054571690935,gini
Gout,0.9861386138613861,0.6412329181445737,0.9861386138613861,0.6501669779815475,0.9861386138613861,0.645581447238143,gini
Hypercholesterolemia,0.9163346613545816,0.5044729159269341,0.9163346613545816,0.5464813973446413,0.9163346613545816,0.515828402996963,gini
Hypertension,0.93812375249501,0.6211199294532628,0.93812375249501,0.6220223626640738,0.93812375249501,0.6215568994438068,gini
Hypertriglyceridemia,0.9861932938856016,0.8056680161943319,0.9861932938856016,0.8949698189134809,0.9861932938856016,0.8442943008818496,entropy
OA,0.9462151394422311,0.8963772116623288,0.9462151394422311,0.9214277728085868,0.9462151394422311,0.9082173692229558,gini
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007,entropy
Obesity,0.9513184584178499,0.48289996833327464,0.9513184584178499,0.48124847086784805,0.9513184584178499,0.48203766042499474,gini
PVD,0.9684418145956607,0.9238816738816739,0.9684418145956607,0.935154486455982,0.9684418145956607,0.9294117647058823,entropy
Venous Insufficiency,0.980276134122288,0.7479633401221997,0.980276134122288,0.8919517102615695,0.980276134122288,0.8026315789473685,gini
overall,0.9475385380407757,0.5283990370665704,0.9475385380407757,0.5199411910027855,0.9475385380407757,0.523766091060836,
