,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9126984126984127,0.4561326658322904,0.9126984126984127,0.362234477124183,0.9126984126984127,0.389765662362506
CAD,0.8490945674044266,0.42214653419896386,0.8490945674044266,0.4468844396964562,0.8490945674044266,0.43374920316911025
CHF,0.8508064516129032,0.5675095473753192,0.8508064516129032,0.5759872241579559,0.8508064516129031,0.5713807344569707
Depression,0.9209486166007905,0.9209964012595591,0.9209486166007905,0.7395993343573989,0.9209486166007905,0.7960088691796008
Diabetes,0.8489065606361829,0.41397506661591166,0.8489065606361829,0.4224358974358975,0.8489065606361829,0.4180612452424533
GERD,0.8888888888888888,0.4294947121034077,0.8888888888888888,0.31653111088797403,0.8888888888888888,0.33794358291313864
Gallstones,0.8244575936883629,0.44366197183098594,0.8244575936883629,0.3485031806265926,0.8244575936883628,0.3352750079807711
Gout,0.9128712871287129,0.8740703177822853,0.9128712871287129,0.5939463406350823,0.9128712871287129,0.6329941860465116
Hypercholesterolemia,0.8007968127490039,0.4010333599149388,0.8007968127490039,0.40463930536624765,0.8007968127490039,0.4021943717577927
Hypertension,0.8662674650698603,0.5746142464595223,0.8662674650698603,0.5191216982660833,0.8662674650698604,0.5375816993464052
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.848605577689243,0.7819909344490934,0.848605577689243,0.590423747763864,0.848605577689243,0.6120398617042913
OSA,0.904572564612326,0.6097624234879137,0.904572564612326,0.45256307031669346,0.904572564612326,0.4893232990699951
Obesity,0.8417849898580122,0.42095381314197267,0.8417849898580122,0.4206205655167593,0.8417849898580123,0.4202708854996586
PVD,0.8974358974358975,0.8507186858316222,0.8974358974358975,0.6204853273137698,0.8974358974358975,0.6625192012288786
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8832670313276977,0.43745363786284436,0.8832670313276977,0.4183124549330162,0.8832670313276977,0.42582776108927045
