,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9126984126984127,0.44110835401157983,0.9126984126984127,0.3684300108932462,0.9126984126984127,0.39222121505746044,100.0
CAD,0.8450704225352113,0.42010368663594466,0.8450704225352113,0.44396043616002356,0.8450704225352113,0.43147960580939915,0.1
CHF,0.844758064516129,0.5644020360585281,0.844758064516129,0.5706736353077817,0.8447580645161291,0.5668335962258405,0.1
Depression,0.9288537549407114,0.9287253694581281,0.9288537549407114,0.7673771121351767,0.9288537549407114,0.8220607197280506,100.0
Diabetes,0.8429423459244533,0.41078947368421054,0.8429423459244533,0.42114398422090726,0.8429423459244533,0.4158901894347759,100.0
GERD,0.8888888888888888,0.4080168776371308,0.8888888888888888,0.32566857448873715,0.8888888888888888,0.345951243415411,100.0
Gallstones,0.8244575936883629,0.44366197183098594,0.8244575936883629,0.3485031806265926,0.8244575936883628,0.3352750079807711,10.0
Gout,0.9128712871287129,0.8740703177822853,0.9128712871287129,0.5939463406350823,0.9128712871287129,0.6329941860465116,100.0
Hypercholesterolemia,0.7928286852589641,0.397459499263623,0.7928286852589641,0.39994446968549646,0.7928286852589641,0.3977790706921882,0.1
Hypertension,0.8662674650698603,0.5684156939747645,0.8662674650698603,0.5247123642845568,0.8662674650698604,0.5402641463710166,100.0
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
OA,0.852589641434263,0.7875226039783002,0.852589641434263,0.6066636851520573,0.852589641434263,0.6338655627833629,100.0
OSA,0.9085487077534792,0.6040413705121196,0.9085487077534792,0.4662842190016103,0.9085487077534792,0.5030383480825958,100.0
Obesity,0.8539553752535497,0.4267003836763167,0.8539553752535497,0.4277987487330048,0.8539553752535497,0.4269508557073324,100.0
PVD,0.8994082840236687,0.8564079952968842,0.8994082840236687,0.6282978273137698,0.8994082840236687,0.6725511302475781,100.0
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
overall,0.8836399801093983,0.4372237086173095,0.8836399801093983,0.4189375023719465,0.8836399801093983,0.42617129820038024,
