,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.871031746031746,0.46730382293762573,0.871031746031746,0.2757352941176471,0.871031746031746,0.2791747398636527
CAD,0.7706237424547284,0.3819773955450112,0.7706237424547284,0.4031072717895823,0.7706237424547285,0.3920903364999826
CHF,0.7338709677419355,0.49042655429880977,0.7338709677419355,0.4855981416957027,0.7338709677419355,0.4829130757647031
Depression,0.9545454545454546,0.9374928904561484,0.9545454545454546,0.8692396313364055,0.9545454545454546,0.8991603919903648
Diabetes,0.8011928429423459,0.3926330667402096,0.8011928429423459,0.3759467455621302,0.801192842942346,0.37941269091481655
GERD,0.8591269841269841,0.3405,0.8591269841269841,0.25609164240050875,0.8591269841269841,0.24467397847567868
Gallstones,0.8284023668639053,0.6092409240924092,0.8284023668639053,0.34099616858237547,0.8284023668639053,0.31689532180116137
Gout,0.9247524752475248,0.9074834588181611,0.9247524752475248,0.65163864832739,0.9247524752475248,0.7083586626139817
Hypercholesterolemia,0.6673306772908366,0.33477944469323784,0.6673306772908366,0.3290549750113585,0.6673306772908366,0.3258998996127922
Hypertension,0.7664670658682635,0.46370441153049846,0.7664670658682635,0.3944255388105655,0.7664670658682635,0.39806514835227014
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8446215139442231,0.8391156462585034,0.8446215139442231,0.5557356887298748,0.8446215139442231,0.5589944587106366
OSA,0.9065606361829026,0.5932886823400766,0.9065606361829026,0.46145330112721417,0.9065606361829026,0.4963716814159292
Obesity,0.6815415821501014,0.3378576301111512,0.6815415821501014,0.3280294292405019,0.6815415821501014,0.3272977941176471
PVD,0.8856015779092702,0.8803857715430862,0.8856015779092702,0.5535588318284425,0.8856015779092701,0.5664366595895258
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8416210840377921,0.40961059572248265,0.8416210840377921,0.38859216277245756,0.841621084037792,0.39618699193119167
