,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.8690476190476191,0.3998709201548958,0.8690476190476191,0.2782543572984749,0.8690476190476191,0.2830653438248375,5.0,entropy
CAD,0.8370221327967807,0.41725042301184434,0.8370221327967807,0.4358745303175422,0.8370221327967807,0.42621085636418965,100.0,entropy
CHF,0.8245967741935484,0.5506134617589726,0.8245967741935484,0.555720092915215,0.8245967741935484,0.5522184300341296,80.0,entropy
Depression,0.950592885375494,0.9551174315880198,0.950592885375494,0.83797363031234,0.950592885375494,0.8843132413326384,80.0,gini
Diabetes,0.8230616302186878,0.42702596380802516,0.8230616302186878,0.3840828402366864,0.8230616302186878,0.39342774146695714,100.0,entropy
GERD,0.8333333333333334,0.27421950434502734,0.8333333333333334,0.26076915352947083,0.8333333333333334,0.2588017794211104,5.0,entropy
Gallstones,0.8362919132149902,0.4966386554621849,0.8362919132149902,0.37149168637371904,0.8362919132149902,0.37374336383146955,5.0,gini
Gout,0.9128712871287129,0.8210700433493041,0.9128712871287129,0.6194812362030906,0.9128712871287129,0.6623100303951368,5.0,gini
Hypercholesterolemia,0.749003984063745,0.3794622785720708,0.749003984063745,0.3730122671512949,0.749003984063745,0.37163299663299665,100.0,entropy
Hypertension,0.7624750499001997,0.45192743764172333,0.7624750499001997,0.4038243396532167,0.7624750499001998,0.4098927792653854,10.0,entropy
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,5.0,gini
OA,0.8247011952191236,0.6570621468926554,0.8247011952191236,0.5621645796064401,0.8247011952191236,0.5711401056228643,5.0,gini
OSA,0.9165009940357853,0.6034489425047366,0.9165009940357853,0.4896672034353194,0.9165009940357853,0.5252903026992198,5.0,gini
Obesity,0.7931034482758621,0.417513587556891,0.7931034482758621,0.38276362238299955,0.7931034482758621,0.38636363636363635,80.0,entropy
PVD,0.8895463510848126,0.8220468431771895,0.8895463510848126,0.5892353273137698,0.8895463510848125,0.6200214132762313,5.0,gini
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,10.0,gini
overall,0.8617603182496271,0.42103740932151157,0.8617603182496271,0.40487601044921506,0.8617603182496271,0.4111862625820315,,
