,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8571428571428571,0.21428571428571427,0.8571428571428571,0.25,0.8571428571428571,0.23076923076923075
CAD,0.5573440643863179,0.13933601609657947,0.5573440643863179,0.25,0.5573440643863179,0.1789405684754522
CHF,0.5645161290322581,0.18817204301075272,0.5645161290322581,0.3333333333333333,0.5645161290322581,0.2405498281786942
Depression,0.857707509881423,0.4288537549407115,0.857707509881423,0.5,0.857707509881423,0.4617021276595745
Diabetes,0.6719681908548708,0.1679920477137177,0.6719681908548708,0.25,0.6719681908548708,0.2009512485136742
GERD,0.8591269841269841,0.21478174603174602,0.8591269841269841,0.25,0.8591269841269841,0.2310565635005336
Gallstones,0.8244575936883629,0.27481919789612097,0.8244575936883629,0.3333333333333333,0.8244575936883628,0.30126126126126124
Gout,0.897029702970297,0.4485148514851485,0.897029702970297,0.5,0.897029702970297,0.4728601252609604
Hypercholesterolemia,0.5557768924302788,0.1389442231075697,0.5557768924302788,0.25,0.5557768924302788,0.17861715749039692
Hypertension,0.7465069860279441,0.2488356620093147,0.7465069860279441,0.3333333333333333,0.7465069860279441,0.28495238095238096
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8286852589641435,0.41434262948207173,0.8286852589641435,0.5,0.8286852589641436,0.4531590413943355
OSA,0.8588469184890656,0.28628230616302186,0.8588469184890656,0.3333333333333333,0.8588469184890656,0.30802139037433157
Obesity,0.5862068965517241,0.14655172413793102,0.5862068965517241,0.25,0.5862068965517241,0.18478260869565216
PVD,0.873767258382643,0.4368836291913215,0.873767258382643,0.5,0.873767258382643,0.46631578947368424
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.7821979114868225,0.3673446394644642,0.7821979114868225,0.34256256404255586,0.7821979114868225,0.34924348568695457
