,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9821428571428571,0.5616251774211158,0.9821428571428571,0.612234477124183,0.9821428571428571,0.5826528568328632
CAD,0.7424547283702213,0.40928860290853564,0.7424547283702213,0.3964572044768022,0.7424547283702213,0.398199216395419
CHF,0.8870967741935484,0.6355352346438274,0.8870967741935484,0.631319290465632,0.8870967741935484,0.6330878558014668
Depression,0.9762845849802372,0.9614558152027934,0.9762845849802372,0.9398361495135689,0.9762845849802372,0.950262123197903
Diabetes,0.882703777335984,0.4442222600408441,0.882703777335984,0.4535502958579882,0.882703777335984,0.4488009383960379
GERD,0.9722222222222222,0.4770468445927162,0.9722222222222222,0.4687050239314523,0.9722222222222222,0.4727613689639006
Gallstones,0.9546351084812623,0.6275143461189973,0.9546351084812623,0.6013767438449834,0.9546351084812623,0.6133034207700567
Gout,0.9900990099009901,0.9625252525252526,0.9900990099009901,0.9859696043470878,0.9900990099009901,0.9738669647385143
Hypercholesterolemia,0.9103585657370518,0.6628294160399317,0.9103585657370518,0.6273411075773638,0.9103585657370518,0.6418781354031671
Hypertension,0.9341317365269461,0.6144626271561257,0.9341317365269461,0.6146491654513045,0.9341317365269461,0.6145151783082817
Hypertriglyceridemia,0.9901380670611439,0.9245714285714286,0.9901380670611439,0.7989939637826962,0.9901380670611439,0.8504336539028852
OA,0.9581673306772909,0.9161737255829849,0.9581673306772909,0.9424754025044723,0.9581673306772909,0.9286135093956323
OSA,0.9880715705765407,0.6514023081052067,0.9880715705765407,0.6514023081052067,0.9880715705765407,0.6514023081052067
Obesity,0.9533468559837728,0.4804421768707483,0.9533468559837728,0.4821135227709622,0.9533468559837728,0.48125397253833224
PVD,0.9822485207100592,0.9686833786664706,0.9822485207100592,0.9497389954853273,0.9822485207100592,0.9589381327334082
Venous Insufficiency,0.9822485207100592,0.7646341463414634,0.9822485207100592,0.8929577464788733,0.9822485207100592,0.8154499494438827
overall,0.9431874689209349,0.5239827546784267,0.9431874689209349,0.5140024263402921,0.9431874689209349,0.5173931369397646
