,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9821428571428571,0.47800657385924206,0.9821428571428571,0.4909109477124183,0.9821428571428571,0.48426585002483036,entropy
CAD,0.7525150905432596,0.41954083054626534,0.7525150905432596,0.4140418310415732,0.7525150905432596,0.414604855603101,entropy
CHF,0.8669354838709677,0.6172196940868889,0.8669354838709677,0.6189789884911837,0.8669354838709677,0.6180043632660962,gini
Depression,0.9703557312252964,0.9567591139019711,0.9703557312252964,0.9190028161802355,0.9703557312252964,0.9366840458811261,entropy
Diabetes,0.882703777335984,0.44266573700674633,0.882703777335984,0.4526232741617357,0.882703777335984,0.44753098317367923,gini
GERD,0.9642857142857143,0.4696457682380112,0.9642857142857143,0.46639555510928143,0.9642857142857143,0.4680087995819356,entropy
Gallstones,0.9506903353057199,0.6235122613627286,0.9506903353057199,0.5997818475132449,0.9506903353057199,0.6107457554266065,gini
Gout,0.9782178217821782,0.6150701453691361,0.9782178217821782,0.6472236372898624,0.9782178217821782,0.6299216811466255,gini
Hypercholesterolemia,0.9223107569721115,0.5367227477680798,0.9223107569721115,0.5513907819677925,0.9223107569721115,0.5435946225905242,gini
Hypertension,0.9301397205588823,0.6280481050716037,0.9301397205588823,0.6072759682385351,0.9301397205588823,0.6169412563071744,entropy
Hypertriglyceridemia,0.9861932938856016,0.8293172690763052,0.9861932938856016,0.7969818913480885,0.9861932938856016,0.8122718857445119,gini
OA,0.9581673306772909,0.9161737255829849,0.9581673306772909,0.9424754025044723,0.9581673306772909,0.9286135093956323,gini
OSA,0.9880715705765407,0.48855173107890504,0.9880715705765407,0.48855173107890504,0.9880715705765407,0.48855173107890504,gini
Obesity,0.9452332657200812,0.5223214285714286,0.9452332657200812,0.5607240222292125,0.9452332657200812,0.5345713822101403,entropy
PVD,0.9842209072978304,0.9766219239373601,0.9842209072978304,0.9508676636568849,0.9842209072978304,0.9632475534613991,entropy
Venous Insufficiency,0.9861932938856016,0.8151576246334311,0.9861932938856016,0.8459758551307847,0.9861932938856016,0.8298086606243706,gini
overall,0.9408254599701641,0.5116788512342256,0.9408254599701641,0.5021073036476201,0.9408254599701641,0.506096467957554,
