,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9067460317460317,0.45098003629764066,0.9067460317460317,0.3450095315904139,0.9067460317460317,0.3716170904420373
CAD,0.8088531187122736,0.40116608362485423,0.8088531187122736,0.4217472187430929,0.8088531187122735,0.41119732517581975
CHF,0.8790322580645161,0.5881522951230059,0.8790322580645161,0.5948315911730546,0.8790322580645161,0.5908413645798345
Depression,0.9426877470355731,0.9409413656053232,0.9426877470355731,0.8159882232462877,0.9426877470355731,0.8638914396490154
Diabetes,0.8807157057654076,0.43450424929178466,0.8807157057654076,0.44446745562130174,0.8807157057654076,0.43937771345875537
GERD,0.9226190476190477,0.47243429286608263,0.9226190476190477,0.36898785018576163,0.9226190476190477,0.39939683256459046
Gallstones,0.8500986193293886,0.5936314363143631,0.8500986193293886,0.3861757319107591,0.8500986193293886,0.3969977734683618
Gout,0.9386138613861386,0.9297916666666667,0.9386138613861386,0.7189463406350823,0.9386138613861386,0.7820882226026921
Hypercholesterolemia,0.8645418326693227,0.43625168690958166,0.8645418326693227,0.43664495936190617,0.8645418326693227,0.4350577101518644
Hypertension,0.906187624750499,0.6023166993316247,0.906187624750499,0.5704910063198834,0.906187624750499,0.5832708528584817
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8725099601593626,0.8416189794945159,0.8725099601593626,0.6601911896243291,0.8725099601593626,0.701423738894465
OSA,0.9204771371769384,0.6117419617419617,0.9204771371769384,0.48715110037573806,0.9204771371769384,0.5243874643874644
Obesity,0.9371196754563894,0.4715996840996841,0.9371196754563894,0.4708197895914159,0.9371196754563894,0.47069988760162873
PVD,0.9289940828402367,0.9329605263157894,0.9289940828402367,0.7321176636568849,0.9289940828402367,0.7928921568627451
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.9076330183988066,0.4526630534850523,0.9076330183988066,0.43543292767776953,0.9076330183988066,0.4424573908423952
