,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9126984126984127,0.44931163954943676,0.9126984126984127,0.35913671023965144,0.9126984126984127,0.3854180253032477,100.0
CAD,0.8088531187122736,0.40116608362485423,0.8088531187122736,0.4217472187430929,0.8088531187122735,0.41119732517581975,1.0
CHF,0.8870967741935484,0.594389619883041,0.8870967741935484,0.6000290360046457,0.8870967741935484,0.596382112418481,10.0
Depression,0.9565217391304348,0.9454279556650247,0.9565217391304348,0.8703917050691244,0.9565217391304348,0.9029129600558172,100.0
Diabetes,0.8807157057654076,0.43343690693260895,0.8807157057654076,0.4463214990138067,0.8807157057654076,0.4397839577108711,10.0
GERD,0.9404761904761905,0.4736383442265795,0.9404761904761905,0.4046423670381899,0.9404761904761905,0.4301884194791913,100.0
Gallstones,0.854043392504931,0.5604862857827285,0.854043392504931,0.40294047553575685,0.854043392504931,0.4211382113821138,100.0
Gout,0.9485148514851485,0.9414035087719299,0.9485148514851485,0.7670232637120054,0.9485148514851485,0.8274547939444912,100.0
Hypercholesterolemia,0.8645418326693227,0.43625168690958166,0.8645418326693227,0.43664495936190617,0.8645418326693227,0.4350577101518644,1.0
Hypertension,0.9101796407185628,0.6025922492722512,0.9101796407185628,0.5778642035326528,0.9101796407185628,0.5881445842585739,100.0
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
OA,0.8824701195219123,0.8452954048140044,0.8824701195219123,0.6984850178890877,0.8824701195219125,0.7410176368230984,100.0
OSA,0.9264413518886679,0.6095752339812816,0.9264413518886679,0.505703166935051,0.9264413518886679,0.5404814378213999,100.0
Obesity,0.9371196754563894,0.4715996840996841,0.9371196754563894,0.4708197895914159,0.9371196754563894,0.47069988760162873,100.0
PVD,0.9368836291913215,0.9296094714397936,0.9368836291913215,0.7700514954853273,0.9368836291913215,0.825593395252838,100.0
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
overall,0.9131029338637494,0.4547217992928161,0.9131029338637494,0.44059262293008133,0.9131029338637494,0.4464973684136776,
