,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.875,0.43047939840200533,0.875,0.2892837690631808,0.875,0.30083731257440177
CAD,0.7686116700201208,0.38118073316283035,0.7686116700201208,0.4029507109703087,0.7686116700201209,0.391390323545865
CHF,0.7701612903225806,0.5159123582502669,0.7701612903225806,0.5139953542392567,0.7701612903225806,0.5118323725288899
Depression,0.932806324110672,0.9239130434782609,0.932806324110672,0.7870583717357911,0.932806324110672,0.8369165434345733
Diabetes,0.8170974155069582,0.403859199929972,0.8170974155069582,0.39113412228796846,0.8170974155069584,0.3942502754636542
GERD,0.8630952380952381,0.40349999999999997,0.8630952380952381,0.2602921980118486,0.8630952380952381,0.25205919922477205
Gallstones,0.8362919132149902,0.5643809523809523,0.8362919132149902,0.3563218390804597,0.8362919132149902,0.3461116519105672
Gout,0.906930693069307,0.8823866896156052,0.906930693069307,0.5565885549329258,0.906930693069307,0.5769840845497157
Hypercholesterolemia,0.7151394422310757,0.36785821417858217,0.7151394422310757,0.3513933060729971,0.7151394422310758,0.3485093167701864
Hypertension,0.8882235528942116,0.5809622094451816,0.8882235528942116,0.5568789499270782,0.8882235528942116,0.5667163633621265
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8446215139442231,0.8391156462585034,0.8446215139442231,0.5557356887298748,0.8446215139442231,0.5589944587106366
OSA,0.8886679920477137,0.6284153005464481,0.8886679920477137,0.4057971014492754,0.8886679920477137,0.4320910973084886
Obesity,0.821501014198783,0.42268584845590573,0.821501014198783,0.40203068749781556,0.821501014198783,0.4055757209114741
PVD,0.883629191321499,0.8705714285714286,0.883629191321499,0.5457463318284425,0.883629191321499,0.5532239033351753
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8611387369467927,0.4277530960821325,0.8611387369467927,0.3973041246568584,0.8611387369467927,0.40780010937927264
