,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9365079365079365,0.44896038154206586,0.9365079365079365,0.4125476579520697,0.9365079365079365,0.42773976769652666,0.1,linear
CAD,0.806841046277666,0.4007308720347478,0.806841046277666,0.42084469166728067,0.806841046277666,0.41053999447777745,100.0,rbf
CHF,0.8770161290322581,0.5864340820645867,0.8770161290322581,0.593205574912892,0.8770161290322581,0.5891705208037276,0.1,linear
Depression,0.9624505928853755,0.9445161059156544,0.9624505928853755,0.8970174091141834,0.9624505928853755,0.9187972465053422,100.0,rbf
Diabetes,0.878727634194831,0.4324403885781572,0.878727634194831,0.44743589743589746,0.878727634194831,0.43977796397151236,0.1,linear
GERD,0.9603174603174603,0.4737900108241843,0.9603174603174603,0.4439200722964153,0.9603174603174603,0.457194557164996,0.1,linear
Gallstones,0.863905325443787,0.5543464743191145,0.863905325443787,0.43119947203431774,0.8639053254437871,0.4562799714314865,0.1,linear
Gout,0.9643564356435643,0.9463709677419355,0.9643564356435643,0.852457972491085,0.9643564356435643,0.8923699914748509,0.1,linear
Hypercholesterolemia,0.8764940239043825,0.6881197839960727,0.8764940239043825,0.4861237316371346,0.8764940239043825,0.5126068717894026,0.1,linear
Hypertension,0.9201596806387226,0.6064326125707199,0.9201596806387226,0.5935018635553395,0.9201596806387226,0.5991681521093285,0.01,linear
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.1,linear
OA,0.898406374501992,0.8585649517051055,0.898406374501992,0.7542207066189623,0.898406374501992,0.7920615969396457,0.1,linear
OSA,0.9363817097415507,0.6166585799773573,0.9363817097415507,0.5298577563070316,0.9363817097415507,0.5618634601484985,0.1,linear
Obesity,0.949290060851927,0.4774955436720143,0.949290060851927,0.4776003984481493,0.949290060851927,0.4771581359816654,0.01,linear
PVD,0.9467455621301775,0.922895467160037,0.9467455621301775,0.8224816591422122,0.9467455621301775,0.8634282122654215,0.1,linear
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
overall,0.9213078070611636,0.5816886150453645,0.9213078070611636,0.45277150394545934,0.9213078070611636,0.459775894275755,,
