,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8591269841269841,0.46471172962226637,0.8591269841269841,0.2536764705882353,0.8591269841269841,0.23826241959234287
CAD,0.5754527162977867,0.34233268805309736,0.5754527162977867,0.32749760554041113,0.5754527162977867,0.28854995579133513
CHF,0.6370967741935484,0.4685099846390169,0.6370967741935484,0.3975319396051103,0.6370967741935484,0.371646786055246
Depression,0.857707509881423,0.4288537549407115,0.857707509881423,0.5,0.857707509881423,0.4617021276595745
Diabetes,0.6640159045725647,0.29428289028767624,0.6640159045725647,0.2878303747534517,0.6640159045725647,0.28427370684925496
GERD,0.8571428571428571,0.29840319361277445,0.8571428571428571,0.25246845399471163,0.8571428571428571,0.2376724958363074
Gallstones,0.8244575936883629,0.27481919789612097,0.8244575936883629,0.3333333333333333,0.8244575936883628,0.30126126126126124
Gout,0.899009900990099,0.9494047619047619,0.899009900990099,0.5096153846153846,0.8990099009900991,0.49222215650322354
Hypercholesterolemia,0.599601593625498,0.3118802539028993,0.599601593625498,0.2819299308395174,0.599601593625498,0.2585434173669468
Hypertension,0.6666666666666666,0.3634792949861443,0.6666666666666666,0.3424080375952034,0.6666666666666666,0.347092237901008
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8207171314741036,0.49764784946236557,0.8207171314741036,0.49980433810375674,0.8207171314741035,0.46152745995423344
OSA,0.8469184890656064,0.4151878914405011,0.8469184890656064,0.3652375201288245,0.8469184890656064,0.36967529478417904
Obesity,0.6247464503042597,0.30886361108020916,0.6247464503042597,0.2879050015728216,0.6247464503042597,0.2773378383134481
PVD,0.873767258382643,0.6876237623762376,0.873767258382643,0.5066838318284425,0.873767258382643,0.48139624088991173
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.7863003480855296,0.38153579011274763,0.7863003480855296,0.33493976046502805,0.7863003480855296,0.3441884046000393
