,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9801587301587301,0.4777131466291951,0.9801587301587301,0.487234477124183,0.9801587301587301,0.4823645139508324
CAD,0.8229376257545271,0.5403092334494773,0.8229376257545271,0.47252022732296073,0.8229376257545271,0.48776595744680845
CHF,0.8971774193548387,0.6454737516005121,0.8971774193548387,0.6398849118361314,0.8971774193548387,0.6416483469115047
Depression,0.9683794466403162,0.9496212121212121,0.9683794466403162,0.9178507424475166,0.9683794466403162,0.9328756674294432
Diabetes,0.8707753479125249,0.4657820051702821,0.8707753479125249,0.4692061143984221,0.8707753479125249,0.46726897136733203
GERD,0.9801587301587301,0.48298997018162104,0.9801587301587301,0.48015195635438634,0.9801587301587301,0.4815581878951667
Gallstones,0.9585798816568047,0.7553011164239737,0.9585798816568047,0.7627729197602156,0.9585798816568046,0.7503636823394665
Gout,0.9861386138613861,0.6356212458662348,0.9861386138613861,0.6501669779815475,0.9861386138613861,0.6426425181838904
Hypercholesterolemia,0.9262948207171314,0.5384648315424462,0.9262948207171314,0.5529052450906153,0.9262948207171314,0.545220383041427
Hypertension,0.9001996007984032,0.586524509494669,0.9001996007984032,0.5994976502997894,0.9001996007984033,0.5924992641410552
Hypertriglyceridemia,0.9921104536489151,0.9960079840319361,0.9921104536489151,0.8,0.9921104536489151,0.8729959919839678
OA,0.9561752988047809,0.9168554476806904,0.9561752988047809,0.9320494186046512,0.9561752988047809,0.9242149758454106
OSA,0.9940357852882704,0.8832153231663037,0.9940357852882704,0.989566559312936,0.9940357852882704,0.9252624583220691
Obesity,0.9350912778904665,0.48090327680367917,0.9350912778904665,0.47432805564293457,0.9350912778904665,0.47759144585891333
PVD,0.9743589743589743,0.9346166892808684,0.9743589743589743,0.9519081546275395,0.9743589743589743,0.943020410986142
Venous Insufficiency,0.9783037475345168,0.7332533013205282,0.9783037475345168,0.8909456740442656,0.9783037475345168,0.7907238545536418
overall,0.9453008453505719,0.5387470810745418,0.9453008453505719,0.5334702320927125,0.9453008453505719,0.5360204473706568
