,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9702380952380952,0.47669133192389,0.9702380952380952,0.46885212418300654,0.9702380952380952,0.4727205042075008,entropy
CAD,0.8108651911468813,0.4834931024252763,0.8108651911468813,0.476447224771103,0.8108651911468813,0.4798287298287298,entropy
CHF,0.8790322580645161,0.6479004087699739,0.8790322580645161,0.6556699398162813,0.8790322580645161,0.6513740463939528,entropy
Depression,0.9683794466403162,0.9496212121212121,0.9683794466403162,0.9178507424475166,0.9683794466403162,0.9328756674294432,gini
Diabetes,0.8986083499005965,0.5048161018272684,0.8986083499005965,0.49872781065088756,0.8986083499005965,0.5013829241643811,entropy
GERD,0.9722222222222222,0.47929746144397434,0.9722222222222222,0.47479666633196105,0.9722222222222222,0.4770334887807516,gini
Gallstones,0.9526627218934911,0.6250425348786005,0.9526627218934911,0.6005792956791142,0.9526627218934911,0.6119179965333812,entropy
Gout,0.9861386138613861,0.6400312373621163,0.9861386138613861,0.6444925567442124,0.9861386138613861,0.6422320550639135,gini
Hypercholesterolemia,0.9023904382470119,0.5176675514266755,0.9023904382470119,0.5415972537735373,0.9023904382470119,0.528066519384086,entropy
Hypertension,0.9241516966067864,0.6050081577640632,0.9241516966067864,0.6157835034840383,0.9241516966067864,0.6102150537634409,gini
Hypertriglyceridemia,0.9861932938856016,0.8056680161943319,0.9861932938856016,0.8949698189134809,0.9861932938856016,0.8442943008818496,entropy
OA,0.9442231075697212,0.8965480043149946,0.9442231075697212,0.9110017889087656,0.9442231075697212,0.9035463328941589,gini
OSA,0.9920477137176938,0.6518105546861416,0.9920477137176938,0.6610641438539989,0.9920477137176938,0.6563712522045856,entropy
Obesity,0.9432048681541582,0.4742076813166004,0.9432048681541582,0.47778826325539125,0.9432048681541582,0.47598451145163945,gini
PVD,0.9842209072978304,0.9766219239373601,0.9842209072978304,0.9508676636568849,0.9842209072978304,0.9632475534613991,entropy
Venous Insufficiency,0.9783037475345168,0.7332533013205282,0.9783037475345168,0.8909456740442656,0.9783037475345168,0.7907238545536418,entropy
overall,0.9435604177026355,0.5126985142847511,0.9435604177026355,0.5114978069833997,0.9435604177026355,0.5120875324194988,
