,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9126984126984127,0.4621292372881356,0.9126984126984127,0.35913671023965144,0.9126984126984127,0.3878318584070797
CAD,0.8410462776659959,0.41805459741795603,0.8410462776659959,0.442155382008399,0.8410462776659958,0.4294583740366873
CHF,0.8467741935483871,0.5642353180041623,0.8467741935483871,0.573170731707317,0.8467741935483871,0.5683889012818093
Depression,0.9209486166007905,0.9209964012595591,0.9209486166007905,0.7395993343573989,0.9209486166007905,0.7960088691796008
Diabetes,0.852882703777336,0.4168057634012509,0.852882703777336,0.42391518737672584,0.852882703777336,0.42015603733229634
GERD,0.8908730158730159,0.4317708333333333,0.8908730158730159,0.32015429929377115,0.8908730158730159,0.34246664075657474
Gallstones,0.8244575936883629,0.44366197183098594,0.8244575936883629,0.3485031806265926,0.8244575936883628,0.3352750079807711
Gout,0.9128712871287129,0.8740703177822853,0.9128712871287129,0.5939463406350823,0.9128712871287129,0.6329941860465116
Hypercholesterolemia,0.796812749003984,0.39886826995090285,0.796812749003984,0.4022918875258721,0.7968127490039841,0.39987470765118616
Hypertension,0.8642714570858283,0.5711145369418751,0.8642714570858283,0.5182304326689353,0.8642714570858284,0.5359933397058371
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8426294820717132,0.7519742216574385,0.8426294820717132,0.5775939177101967,0.8426294820717132,0.5934806006867921
OSA,0.8986083499005965,0.6047900719090699,0.8986083499005965,0.4380703166935051,0.8986083499005965,0.4723786142291153
Obesity,0.8438133874239351,0.4222325048475234,0.8438133874239351,0.42148561741987345,0.8438133874239351,0.42127517866610575
PVD,0.8974358974358975,0.8507186858316222,0.8974358974358975,0.6204853273137698,0.8974358974358975,0.6625192012288786
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.881899552461462,0.4364789819152268,0.881899552461462,0.4172700635049147,0.881899552461462,0.42479239474122144
