,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9146825396825397,0.4425646551724138,0.9146825396825397,0.3721064814814815,0.9146825396825397,0.3956886574074074,100.0
CAD,0.8410462776659959,0.4179352840384869,0.8410462776659959,0.4414094157518603,0.8410462776659958,0.4291679716045516,0.1
CHF,0.8528225806451613,0.569047619047619,0.8528225806451613,0.5767421602787456,0.8528225806451613,0.5724051939117722,10.0
Depression,0.9268774703557312,0.9268554943613952,0.9268774703557312,0.7604326676907323,0.9268774703557312,0.8157047653735221,100.0
Diabetes,0.8449304174950298,0.4121384502179204,0.8449304174950298,0.4218836291913215,0.8449304174950298,0.41692905602515085,100.0
GERD,0.8948412698412699,0.4285464709993012,0.8948412698412699,0.32740067610536533,0.8948412698412699,0.350297619047619,100.0
Gallstones,0.8244575936883629,0.44366197183098594,0.8244575936883629,0.3485031806265926,0.8244575936883628,0.3352750079807711,100.0
Gout,0.9128712871287129,0.8740703177822853,0.9128712871287129,0.5939463406350823,0.9128712871287129,0.6329941860465116,100.0
Hypercholesterolemia,0.796812749003984,0.39886826995090285,0.796812749003984,0.4022918875258721,0.7968127490039841,0.39987470765118616,1.0
Hypertension,0.8682634730538922,0.5697485806974858,0.8682634730538922,0.527467185221196,0.8682634730538922,0.5426993087209828,100.0
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
OA,0.850597609561753,0.7813255360623782,0.850597609561753,0.6008497316636852,0.850597609561753,0.626054050832812,10.0
OSA,0.9125248508946322,0.6155002733734282,0.9125248508946322,0.47188674181427803,0.9125248508946323,0.5104424778761062,100.0
Obesity,0.8498985801217038,0.4252893274236668,0.8498985801217038,0.4248759218482402,0.8498985801217038,0.4245609273494546,100.0
PVD,0.8994082840236687,0.8564079952968842,0.8994082840236687,0.6282978273137698,0.8994082840236687,0.6725511302475781,100.0
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
overall,0.8846345101939334,0.4379162521778808,0.8846345101939334,0.4194962934382471,0.8846345101939334,0.42678217396053897,
