,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9503968253968254,0.46915418652144314,0.9503968253968254,0.42589188453159044,0.9503968253968254,0.44377828054298646
CAD,0.7303822937625755,0.3610084522465181,0.7303822937625755,0.37647811832314154,0.7303822937625754,0.3682214864751065
CHF,0.7540322580645161,0.500573986581982,0.7540322580645161,0.50534262485482,0.7540322580645161,0.5018132889828258
Depression,0.9130434782608695,0.9244462025316456,0.9130434782608695,0.7060291858678955,0.9130434782608695,0.7642324635716706
Diabetes,0.7753479125248509,0.37586351706036747,0.7753479125248509,0.37096646942800793,0.7753479125248509,0.3717297633936031
GERD,0.873015873015873,0.41862348178137654,0.873015873015873,0.2784081400408341,0.8730158730158731,0.28364262013026914
Gallstones,0.8205128205128205,0.35834990059642147,0.8205128205128205,0.3347724064602468,0.8205128205128205,0.30772412531370186
Gout,0.9287128712871288,0.897656691134952,0.9287128712871288,0.679381049414162,0.9287128712871288,0.7375259875259875
Hypercholesterolemia,0.7390438247011952,0.3712931411096549,0.7390438247011952,0.3690872835579787,0.7390438247011952,0.3672978122554523
Hypertension,0.8023952095808383,0.5037344135704792,0.8023952095808383,0.4533300923675255,0.8023952095808384,0.46649380581964844
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8605577689243028,0.9009412304866851,0.8605577689243028,0.5976352862254025,0.8605577689243028,0.6245726495726496
OSA,0.904572564612326,0.620557880055788,0.904572564612326,0.448503757380569,0.904572564612326,0.48596368170836257
Obesity,0.665314401622718,0.33858252576526693,0.665314401622718,0.3111696550277865,0.665314401622718,0.30576630137391486
PVD,0.8994082840236687,0.9158536585365853,0.8994082840236687,0.6082463318284425,0.8994082840236687,0.6499424626006904
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.849204375932372,0.4143419259663871,0.849204375932372,0.39385191463522623,0.8492043759323721,0.40139599680811133
