,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9226190476190477,0.44797430830039525,0.9226190476190477,0.38681236383442263,0.9226190476190477,0.40899263292761057,0.01,linear
CAD,0.8350100603621731,0.4150024614374795,0.8350100603621731,0.43907481765269285,0.8350100603621731,0.4263442446542627,0.1,linear
CHF,0.8629032258064516,0.5753508236729713,0.8629032258064516,0.5840011614401858,0.8629032258064516,0.5793028640444646,0.01,linear
Depression,0.9466403162055336,0.9301552106430155,0.9466403162055336,0.8414618535586278,0.9466403162055336,0.8784465501134392,0.1,linear
Diabetes,0.8409542743538767,0.4091707725202194,0.8409542743538767,0.42133136094674556,0.8409542743538766,0.41516094292210126,0.1,linear
GERD,0.9027777777777778,0.423997337808901,0.9027777777777778,0.35103089332931686,0.9027777777777778,0.37345911949685534,0.1,linear
Gallstones,0.8165680473372781,0.4147141518275539,0.8165680473372781,0.3574492657977231,0.8165680473372781,0.35404919381876926,0.1,linear
Gout,0.9148514851485149,0.8814102564102564,0.9148514851485149,0.6035617252504669,0.9148514851485149,0.6464794464794466,0.1,linear
Hypercholesterolemia,0.798804780876494,0.3985548186358798,0.798804780876494,0.40457620273613004,0.798804780876494,0.4013646922183508,0.1,linear
Hypertension,0.874251497005988,0.5755472170106316,0.874251497005988,0.533868092691622,0.874251497005988,0.5491111538955205,0.1,linear
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
OA,0.8625498007968128,0.8071887427347813,0.8625498007968128,0.6403454830053668,0.8625498007968128,0.675804685379482,0.1,linear
OSA,0.9165009940357853,0.5962837200528203,0.9165009940357853,0.4896672034353194,0.9165009940357853,0.5237048382111364,0.01,linear
Obesity,0.8640973630831643,0.43189136034530773,0.8640973630831643,0.4333167313271119,0.8640973630831643,0.4323481095119198,0.01,linear
PVD,0.8954635108481263,0.8122821576763486,0.8954635108481263,0.6327243227990971,0.8954635108481263,0.6735985423625874,0.1,linear
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
overall,0.8886126305320736,0.438356690758577,0.8886126305320736,0.42427750509177853,0.8886126305320736,0.4300494757013942,,
