,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9639065817409767,0.9291598936013004,0.9639065817409767,0.9238979710991096,0.9639065817409767,0.9265041993666528
CAD,0.8427947598253275,0.5586479035187435,0.8427947598253275,0.5617912029676736,0.8427947598253275,0.5599848757592943
CHF,0.865296803652968,0.5765884194053208,0.865296803652968,0.5825185500763305,0.865296803652968,0.5794251347230712
Depression,0.9643605870020965,0.9523529411764706,0.9643605870020965,0.9429723502304148,0.9643605870020965,0.9475583493393865
Diabetes,0.9144050104384134,0.8984509466437177,0.9144050104384134,0.899975317783537,0.9144050104384134,0.8992070620236599
GERD,0.892018779342723,0.5665526675786593,0.892018779342723,0.5553498142914379,0.892018779342723,0.5605130894992604
Gallstones,0.9592668024439919,0.9572727272727273,0.9592668024439919,0.8901003649635036,0.9592668024439919,0.9195451268270302
Gout,0.97,0.9228067660550459,0.97,0.9405691026550655,0.97,0.9314285714285714
Hypercholesterolemia,0.9002320185614849,0.8992977836295808,0.9002320185614849,0.8978311251038524,0.9002320185614849,0.8985188227241616
Hypertension,0.899103139013453,0.5674029022620571,0.899103139013453,0.5647748434061283,0.899103139013453,0.5660833439585192
Hypertriglyceridemia,0.9711934156378601,0.8393571266882971,0.9711934156378601,0.890238611713666,0.9711934156378601,0.8627450980392157
OA,0.935064935064935,0.593803424663796,0.935064935064935,0.6182591250711141,0.935064935064935,0.6052350427350427
OSA,0.9959595959595959,0.994170678750118,0.9959595959595959,0.8282828282828283,0.9959595959595959,0.8834485202906256
Obesity,0.9194630872483222,0.9166599190283401,0.9194630872483222,0.9204044117647059,0.9194630872483222,0.918225058947882
PVD,0.9505376344086022,0.5933247539381807,0.9505376344086022,0.6139451192082771,0.9505376344086022,0.6030771703385011
Venous Insufficiency,0.882903981264637,0.5375584820654999,0.882903981264637,0.5375584820654999,0.882903981264637,0.5375584820654999
overall,0.9283686984727666,0.6778615151428277,0.9283686984727666,0.6358308049696902,0.9283686984727666,0.6466954823535424
