,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9639065817409767,0.9291598936013004,0.9639065817409767,0.9238979710991096,0.9639065817409767,0.9265041993666528,gini
CAD,0.8275109170305677,0.5482168423792789,0.8275109170305677,0.5520601483836778,0.8275109170305677,0.549731658990408,gini
CHF,0.8949771689497716,0.5971848739495799,0.8949771689497716,0.6014414030603188,0.8949771689497716,0.599155805817714,entropy
Depression,0.960167714884696,0.9522373593236767,0.960167714884696,0.9300307219662058,0.960167714884696,0.9405521701770381,gini
Diabetes,0.9018789144050104,0.8827740492170022,0.9018789144050104,0.8871199967090377,0.9018789144050104,0.8848940358411944,gini
GERD,0.8896713615023474,0.5612049641900388,0.8896713615023474,0.5594971250365461,0.8896713615023474,0.5603103103103103,gini
Gallstones,0.9572301425661914,0.9501020839200225,0.9572301425661914,0.8888838199513382,0.9572301425661914,0.9159965782720274,gini
Gout,0.974,0.9317660550458715,0.974,0.9499047761305501,0.974,0.9405714285714286,entropy
Hypercholesterolemia,0.9071925754060325,0.9061650740773209,0.9071925754060325,0.9051882460973371,0.9071925754060325,0.9056562472638123,gini
Hypertension,0.905829596412556,0.5765253587468507,0.905829596412556,0.5675681394955138,0.905829596412556,0.5719690853704481,gini
Hypertriglyceridemia,0.9567901234567902,0.7735407488986784,0.9567901234567902,0.8448156182212581,0.9567901234567902,0.804314063848145,entropy
OA,0.9393939393939394,0.6007249446876618,0.9393939393939394,0.6173209170484375,0.9393939393939394,0.6087276673255048,gini
OSA,0.9959595959595959,0.994170678750118,0.9959595959595959,0.8282828282828283,0.9959595959595959,0.8834485202906256,gini
Obesity,0.930648769574944,0.9286324786324787,0.930648769574944,0.9302083333333333,0.930648769574944,0.929376328302983,entropy
PVD,0.946236559139785,0.5877838945687662,0.946236559139785,0.6079814921920185,0.946236559139785,0.5973345201889079,gini
Venous Insufficiency,0.8805620608899297,0.5782708699769991,0.8805620608899297,0.6002425922717034,0.8805620608899297,0.5870014602969903,entropy
overall,0.9285038518718746,0.6782656876130776,0.9285038518718746,0.6354935672299554,0.9285038518718746,0.6467277805698551,
