,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9023354564755839,0.9487750556792873,0.9023354564755839,0.6617647058823529,0.9023354564755839,0.7174491392801252
CAD,0.8799126637554585,0.5846570277942827,0.8799126637554585,0.5855060943296237,0.8799126637554585,0.5850692377891521
CHF,0.8926940639269406,0.5960991638056322,0.8926940639269406,0.599644974615685,0.8926940639269406,0.5975583077520201
Depression,0.8846960167714885,0.8983812949640287,0.8846960167714885,0.7551843317972351,0.8846960167714885,0.7984790874524714
Diabetes,0.8977035490605428,0.8808899433899434,0.8977035490605428,0.8764243695750544,0.8977035490605428,0.8786030898774704
GERD,0.8615023474178404,0.5877912036755925,0.8615023474178404,0.4700971315336387,0.8615023474178404,0.4974323062558357
Gallstones,0.8574338085539714,0.8863082811412666,0.8574338085539714,0.5675334549878346,0.8574338085539714,0.5802393746946751
Gout,0.92,0.9053323937044867,0.92,0.6933044549833824,0.92,0.7507974481658692
Hypercholesterolemia,0.8631090487238979,0.8606727484975571,0.8631090487238979,0.8647732738641829,0.8631090487238979,0.861919733276861
Hypertension,0.9035874439461884,0.5938027489751628,0.9035874439461884,0.5380692398848823,0.9035874439461884,0.5605854462997321
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8506493506493507,0.5506379585326954,0.8506493506493507,0.4533640746174806,0.8506493506493505,0.476873476448848
OSA,0.9191919191919192,0.9714489650249822,0.9191919191919192,0.6363636363636364,0.9191919191919192,0.7341896995501672
Obesity,0.9284116331096197,0.9352854122621564,0.9284116331096197,0.9205269607843137,0.9284116331096197,0.9258552767986731
PVD,0.9311827956989247,0.6333203833203833,0.9311827956989247,0.5119850909324594,0.9311827956989247,0.551473987978508
Venous Insufficiency,0.936768149882904,0.8442671394799055,0.936768149882904,0.5504678565239993,0.936768149882904,0.5744657291551323
overall,0.8989052574672253,0.6701630687455117,0.8989052574672253,0.5954941393041535,0.8989052574672253,0.6191789568924218
