,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.861995753715499,0.7892549261083743,0.861995753715499,0.5342833163041891,0.861995753715499,0.5291810841983853
CAD,0.8253275109170306,0.5478769817298269,0.8253275109170306,0.5450715421303657,0.8253275109170306,0.5463311551415825
CHF,0.8561643835616438,0.572979749686577,0.8561643835616438,0.5743103631909682,0.8561643835616438,0.5726695410232993
Depression,0.8867924528301887,0.9280660377358491,0.8867924528301887,0.7462749615975423,0.8867924528301887,0.7951943260606832
Diabetes,0.8455114822546973,0.8289135326261652,0.8455114822546973,0.7946542432843803,0.8455114822546973,0.8083171101016655
GERD,0.8051643192488263,0.5086145010768126,0.8051643192488263,0.39696152638361,0.8051643192488261,0.40557463902020574
Gallstones,0.8778004073319755,0.9363057324840764,0.8778004073319755,0.625,0.8778004073319755,0.6659863945578232
Gout,0.896,0.9023982152816509,0.896,0.580828260950745,0.8960000000000001,0.6108716475095786
Hypercholesterolemia,0.7169373549883991,0.727396811530902,0.7169373549883991,0.7276553412917048,0.7169373549883991,0.7169358311800171
Hypertension,0.7959641255605381,0.43953858392999207,0.7959641255605381,0.3648213983409514,0.7959641255605381,0.3657228657228657
Hypertriglyceridemia,0.9506172839506173,0.9752577319587629,0.9506172839506173,0.52,0.9506172839506173,0.5257765490323629
OA,0.8138528138528138,0.5007575757575757,0.8138528138528138,0.38282879699773437,0.8138528138528138,0.3867194496532918
OSA,0.8828282828282829,0.9303594955768869,0.8828282828282829,0.5497244103801481,0.8828282828282829,0.620890220890221
Obesity,0.7225950782997763,0.7540150770239266,0.7225950782997763,0.6899509803921569,0.7225950782997763,0.6889562289562289
PVD,0.8774193548387097,0.5748241434082142,0.8774193548387097,0.3880727459674828,0.8774193548387098,0.4050237528498399
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.848357886200838,0.6313369896836334,0.848357886200838,0.5500341201396678,0.848357886200838,0.5745195951594996
