,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.8747346072186837,0.8608498488411152,0.8747346072186837,0.5784009633630127,0.8747346072186837,0.6015399836538048,5.0,gini
CAD,0.8646288209606987,0.5801143893422612,0.8646288209606987,0.5677066772655008,0.8646288209606987,0.5722079061816494,100.0,entropy
CHF,0.8447488584474886,0.562854215028128,0.8447488584474886,0.5680548159193383,0.8447488584474886,0.5654425214577178,50.0,gini
Depression,0.8951781970649895,0.918919451450189,0.8951781970649895,0.7721582181259601,0.8951781970649895,0.8176717020365727,80.0,gini
Diabetes,0.8810020876826722,0.8934277962013868,0.8810020876826722,0.8221029248426509,0.8810020876826722,0.8469262467412328,100.0,entropy
GERD,0.7699530516431925,0.42309794158722447,0.7699530516431925,0.3818557862023411,0.7699530516431926,0.38562091503267976,5.0,gini
Gallstones,0.8635437881873728,0.8726110697443534,0.8635437881873728,0.5913169099756691,0.8635437881873728,0.6167860679130992,5.0,entropy
Gout,0.898,0.8270833333333334,0.898,0.6172560588520856,0.898,0.6574376334985692,5.0,gini
Hypercholesterolemia,0.8120649651972158,0.8091177112906749,0.8120649651972158,0.8094691503782413,0.8120649651972158,0.8092889100116357,50.0,entropy
Hypertension,0.8295964125560538,0.5457735247208931,0.8295964125560538,0.4016421195192145,0.8295964125560538,0.41868138551835293,10.0,entropy
Hypertriglyceridemia,0.9547325102880658,0.9772256728778468,0.9547325102880658,0.56,0.9547325102880658,0.5954903147699757,5.0,gini
OA,0.8246753246753247,0.5393835616438356,0.8246753246753247,0.3983890768631913,0.8246753246753247,0.4099378881987577,10.0,gini
OSA,0.896969696969697,0.8830209712255277,0.896969696969697,0.6106971352872992,0.896969696969697,0.6949045651698263,5.0,gini
Obesity,0.8635346756152126,0.8844557823129252,0.8635346756152126,0.8462928921568628,0.8635346756152126,0.8550745435701189,80.0,entropy
PVD,0.8817204301075269,0.6262848751835536,0.8817204301075269,0.38974358974358975,0.8817204301075269,0.4083317907899879,50.0,gini
Venous Insufficiency,0.9297423887587822,0.465962441314554,0.9297423887587822,0.49874371859296485,0.9297423887587822,0.4817961165048544,5.0,gini
overall,0.86903635626436,0.6416937722265591,0.86903635626436,0.574044503286362,0.86903635626436,0.5951632742857411,,
