,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9660297239915074,0.9358585858585858,0.9660297239915074,0.9251386658881915,0.9660297239915074,0.9303975173636766
CAD,0.87117903930131,0.5795032962340193,0.87117903930131,0.5777225755166931,0.87117903930131,0.5785635461954716
CHF,0.8767123287671232,0.5841960260477542,0.8767123287671232,0.59013739482373,0.8767123287671232,0.5870714417477008
Depression,0.9643605870020965,0.9554111405835544,0.9643605870020965,0.9395545314900153,0.9643605870020965,0.947188120746361
Diabetes,0.9123173277661796,0.8977197346600332,0.9123173277661796,0.8946275042165452,0.9123173277661796,0.8961490811480488
GERD,0.9014084507042254,0.5748162094315941,0.9014084507042254,0.5671095518088989,0.9014084507042254,0.5707317207453471
Gallstones,0.955193482688391,0.943140731469893,0.955193482688391,0.8876672749391727,0.955193482688391,0.9124862272344287
Gout,0.984,0.9689073369460779,0.984,0.9555995369505956,0.984,0.9621212121212122
Hypercholesterolemia,0.9025522041763341,0.9019006811689738,0.9025522041763341,0.8998972408063317,0.902552204176334,0.9008174804944333
Hypertension,0.8901345291479821,0.5601207056638812,0.8901345291479821,0.5496233282546131,0.8901345291479821,0.5547392775669511
Hypertriglyceridemia,0.9794238683127572,0.9065639966194009,0.9794238683127572,0.8756616052060737,0.9794238683127572,0.890422077922078
OA,0.9415584415584416,0.6021716378859235,0.9415584415584416,0.6209839207114412,0.9415584415584416,0.6111750471075595
OSA,0.9939393939393939,0.9933177933177934,0.9939393939393939,0.8232323232323232,0.9939393939393939,0.8804764849032525
Obesity,0.930648769574944,0.9290216637428094,0.930648769574944,0.9295649509803922,0.930648769574944,0.9292883933355447
PVD,0.9483870967741935,0.5915611814345992,0.9483870967741935,0.608816914080072,0.9483870967741934,0.5998009764592468
Venous Insufficiency,0.927400468384075,0.712092731829574,0.927400468384075,0.7052937099289551,0.927400468384075,0.7086222457020845
overall,0.9355318286254899,0.6835355904187258,0.9355318286254899,0.6413078433415672,0.9355318286254899,0.6522711312815203
