,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9639065817409767,0.9389005602240896,0.9639065817409767,0.9116734783243322,0.9639065817409767,0.9246336160239456,gini
CAD,0.8668122270742358,0.5761304561711406,0.8668122270742358,0.5752715951245363,0.8668122270742357,0.5756888039496736,gini
CHF,0.867579908675799,0.578389475448299,0.867579908675799,0.583292505414137,0.867579908675799,0.5808051737279111,gini
Depression,0.949685534591195,0.9347041847041847,0.949685534591195,0.9164746543778801,0.949685534591195,0.9251764705882353,entropy
Diabetes,0.9018789144050104,0.8837287927219081,0.9018789144050104,0.8851968406762927,0.9018789144050104,0.8844568759783418,gini
GERD,0.9014084507042254,0.5795282662128947,0.9014084507042254,0.5593780116731096,0.9014084507042254,0.5683245149911816,gini
Gallstones,0.955193482688391,0.943140731469893,0.955193482688391,0.8876672749391727,0.955193482688391,0.9124862272344287,gini
Gout,0.984,0.9689073369460779,0.984,0.9555995369505956,0.984,0.9621212121212122,gini
Hypercholesterolemia,0.9048723897911833,0.9032430661716532,0.9048723897911833,0.903701517337881,0.9048723897911833,0.9034672260552723,gini
Hypertension,0.9035874439461884,0.5763236718239759,0.9035874439461884,0.5609234806162181,0.9035874439461884,0.5683001990782405,entropy
Hypertriglyceridemia,0.9670781893004116,0.8170861396667848,0.9670781893004116,0.8880694143167028,0.9670781893004116,0.8484092326887086,entropy
OA,0.9415584415584416,0.6036543715846995,0.9415584415584416,0.6182291822618798,0.9415584415584416,0.6107345828074502,gini
OSA,0.9959595959595959,0.994170678750118,0.9959595959595959,0.8282828282828283,0.9959595959595959,0.8834485202906256,gini
Obesity,0.9440715883668904,0.9426991962792215,0.9440715883668904,0.9432598039215686,0.9440715883668904,0.9429745107544714,entropy
PVD,0.9634408602150538,0.6213377556661138,0.9634408602150538,0.6146648672964462,0.9634408602150538,0.6179255097794424,gini
Venous Insufficiency,0.9086651053864169,0.6490901898734177,0.9086651053864169,0.6632732628660545,0.9086651053864169,0.6557377049180328,entropy
overall,0.933909987836194,0.682900763884584,0.933909987836194,0.6391546990787562,0.933909987836194,0.6508682706832191,
