,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9002123142250531,0.9095515695067264,0.9002123142250531,0.6666362574806597,0.9002123142250531,0.7196322048710058
CAD,0.8733624454148472,0.5808524808524808,0.8733624454148472,0.5795243773184949,0.8733624454148472,0.5801606317673645
CHF,0.8470319634703196,0.5648760417322669,0.8470319634703196,0.5691695956260873,0.8470319634703196,0.5669112102440502
Depression,0.8574423480083857,0.8814814814814815,0.8574423480083857,0.6898617511520737,0.8574423480083857,0.731044776119403
Diabetes,0.8747390396659708,0.8559437290152578,0.8747390396659708,0.8445226047965774,0.8747390396659708,0.8498558114264221
GERD,0.8192488262910798,0.5150049603174603,0.8192488262910798,0.4287756229087483,0.8192488262910798,0.4455840455840456
Gallstones,0.8370672097759674,0.6713250517598344,0.8370672097759674,0.5201338199513382,0.8370672097759674,0.5007118161480577
Gout,0.9,0.8838487972508591,0.9,0.6042794727211621,0.9,0.6439963545226703
Hypercholesterolemia,0.8051044083526682,0.8031508799171843,0.8051044083526682,0.8073265118719664,0.8051044083526682,0.8038106385745871
Hypertension,0.8475336322869955,0.5433139534883721,0.8475336322869955,0.44622905027932963,0.8475336322869955,0.47136901045338275
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8073593073593074,0.47806398494471897,0.8073593073593074,0.3828587398069687,0.8073593073593074,0.38755663413197666
OSA,0.9090909090909091,0.9682203389830509,0.9090909090909091,0.611111111111111,0.9090909090909091,0.7055370164380176
Obesity,0.8389261744966443,0.8416330431089403,0.8389261744966443,0.8285845588235294,0.8389261744966443,0.8328833132555145
PVD,0.9053763440860215,0.620275888133031,0.9053763440860215,0.45044662939399777,0.9053763440860215,0.4881576600677724
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.869847276659008,0.6460999626983263,0.869847276659008,0.5712964018576067,0.869847276659008,0.5945825173090404
