,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9002123142250531,0.8716275659824047,0.9002123142250531,0.6849729966428258,0.9002123142250531,0.7347496315467845,100.0
CAD,0.8733624454148472,0.5808524808524808,0.8733624454148472,0.5795243773184949,0.8733624454148472,0.5801606317673645,1.0
CHF,0.8447488584474886,0.5634695719713668,0.8447488584474886,0.5677139915503958,0.8447488584474886,0.5654805950795295,0.01
Depression,0.8553459119496856,0.8640734265734266,0.8553459119496856,0.6919354838709677,0.8553459119496856,0.7314386428728794,100.0
Diabetes,0.8830897703549061,0.864991571849979,0.8830897703549061,0.8562980789008187,0.8830897703549061,0.8604312354312356,100.0
GERD,0.8286384976525821,0.5192623468485538,0.8286384976525821,0.4456897205167354,0.8286384976525821,0.4637542770748786,100.0
Gallstones,0.835030549898167,0.6433840479483632,0.835030549898167,0.5189172749391727,0.835030549898167,0.49959107666368885,100.0
Gout,0.906,0.8791666666666667,0.906,0.6359274058030546,0.906,0.6843052700869168,100.0
Hypercholesterolemia,0.8120649651972158,0.8103009658502932,0.8120649651972158,0.814683632865451,0.8120649651972158,0.8108881124563257,100.0
Hypertension,0.8542600896860987,0.5505421092979959,0.8542600896860987,0.457592686642966,0.8542600896860987,0.4837402392013443,100.0
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01
OA,0.8073593073593074,0.47806398494471897,0.8073593073593074,0.3828587398069687,0.8073593073593074,0.38755663413197666,1.0
OSA,0.9151515151515152,0.9701492537313433,0.9151515151515152,0.6262626262626263,0.915151515151515,0.7230807387057386,10.0
Obesity,0.8411633109619687,0.8435672514619883,0.8411633109619687,0.8311887254901961,0.8411633109619687,0.8353488661655071,100.0
PVD,0.9053763440860215,0.609134980433386,0.9053763440860215,0.4547394126341495,0.9053763440860215,0.4916555202951384,100.0
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424,0.1
overall,0.8722800378429517,0.6472987219030024,0.8722800378429517,0.574083261313278,0.8722800378429517,0.5969505222858843,
