,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.861995753715499,0.8313304721030044,0.861995753715499,0.5281710699168004,0.861995753715499,0.5173952109967369
CAD,0.7925764192139738,0.525268921095008,0.7925764192139738,0.5307233704292528,0.7925764192139738,0.5267091510933876
CHF,0.7853881278538812,0.5244325880758808,0.7853881278538812,0.5268008662619378,0.7853881278538812,0.5249971275796544
Depression,0.8301886792452831,0.862751677852349,0.8301886792452831,0.6245391705069124,0.8301886792452831,0.6505494505494506
Diabetes,0.791231732776618,0.7624045331362405,0.791231732776618,0.7190752396231848,0.791231732776618,0.7334624287749288
GERD,0.8192488262910798,0.5731922398589065,0.8192488262910798,0.40042664241085446,0.8192488262910798,0.41002415458937197
Gallstones,0.8472505091649695,0.8521251475796929,0.8472505091649695,0.5362834549878346,0.8472505091649695,0.5270660759005972
Gout,0.894,0.9461382113821138,0.894,0.5655737704918032,0.894,0.5874780117996856
Hypercholesterolemia,0.7076566125290024,0.7100508796136599,0.7076566125290024,0.7130176221085311,0.7076566125290025,0.7070873786407768
Hypertension,0.8004484304932735,0.45280485163526096,0.8004484304932735,0.38953783646521073,0.8004484304932735,0.400271831464492
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8354978354978355,0.5709839816933638,0.8354978354978355,0.41119461827908693,0.8354978354978355,0.42826099388116884
OSA,0.8828282828282829,0.9601374570446736,0.8828282828282829,0.5454545454545454,0.8828282828282829,0.6143567251461988
Obesity,0.697986577181208,0.7159265539717026,0.697986577181208,0.6664522058823529,0.697986577181208,0.6640875059144423
PVD,0.8838709677419355,0.5730797912005966,0.8838709677419355,0.40775014459224984,0.8838709677419355,0.43253866529949586
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.8334910122989593,0.6194304949130319,0.8334910122989593,0.5364835416296351,0.8334910122989594,0.5608650625117548
