,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.861995753715499,0.9305555555555556,0.861995753715499,0.5220588235294118,0.861995753715499,0.5049400882909396,10.0,gini
CAD,0.8777292576419214,0.5896770593569087,0.8777292576419214,0.5767885532591416,0.8777292576419214,0.5814989318031265,80.0,entropy
CHF,0.863013698630137,0.5751631250218082,0.863013698630137,0.5802108850782831,0.863013698630137,0.5776651532749094,100.0,entropy
Depression,0.8763102725366876,0.9219842657342657,0.8763102725366876,0.7224654377880184,0.8763102725366876,0.7703605786884041,100.0,gini
Diabetes,0.8204592901878914,0.7994205376650518,0.8204592901878914,0.7593278209716565,0.8204592901878914,0.7740962534000175,10.0,gini
GERD,0.7676056338028169,0.41683937823834194,0.7676056338028169,0.375694376766397,0.7676056338028169,0.3775337926405973,5.0,gini
Gallstones,0.8492871690427699,0.7711184210526316,0.8492871690427699,0.5626672749391728,0.8492871690427699,0.5728226109857035,5.0,gini
Gout,0.914,0.8327067669172932,0.914,0.7181186750812204,0.914,0.7589659076895481,5.0,gini
Hypercholesterolemia,0.7819025522041764,0.778644691855878,0.7819025522041764,0.7779745507018234,0.7819025522041764,0.7782921810699588,100.0,entropy
Hypertension,0.8385650224215246,0.5234691978410572,0.8385650224215246,0.4396478754020654,0.8385650224215246,0.4619883040935672,10.0,entropy
Hypertriglyceridemia,0.9444444444444444,0.47417355371900827,0.9444444444444444,0.49783080260303686,0.9444444444444444,0.4857142857142857,5.0,gini
OA,0.8116883116883117,0.4761904761904762,0.8116883116883117,0.40946791627990536,0.8116883116883117,0.4217978236569824,5.0,gini
OSA,0.8949494949494949,0.9638135003479471,0.8949494949494949,0.5757575757575758,0.8949494949494949,0.6598806311830594,80.0,gini
Obesity,0.7740492170022372,0.7919159544159544,0.7740492170022372,0.7511335784313725,0.7740492170022372,0.7565004935035516,30.0,entropy
PVD,0.8666666666666667,0.4904234215746632,0.8666666666666667,0.3924812030075188,0.8666666666666667,0.4084054568123698,5.0,gini
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424,5.0,entropy
overall,0.8559264765508853,0.6316648130999857,0.8559264765508853,0.5623098312994053,0.8559264765508853,0.5837903292562114,,
