,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9087048832271762,0.8617413499716393,0.9087048832271762,0.7327215005108744,0.9087048832271762,0.7769419694483297,0.1,linear
CAD,0.8668122270742358,0.5758479067302597,0.8668122270742358,0.5758479067302597,0.8668122270742357,0.5758479067302597,100.0,rbf
CHF,0.8447488584474886,0.5634453781512605,0.8447488584474886,0.5675435793659247,0.8447488584474886,0.5653457406966805,100.0,rbf
Depression,0.870020964360587,0.8731203007518797,0.870020964360587,0.7286866359447004,0.870020964360587,0.7695005611672279,0.1,linear
Diabetes,0.8851774530271399,0.8659361471861472,0.8851774530271399,0.8616458924678103,0.8851774530271399,0.8637381621073648,100.0,rbf
GERD,0.8192488262910798,0.4962197769294108,0.8192488262910798,0.45197024331611607,0.8192488262910798,0.4657660347315519,0.1,linear
Gallstones,0.8329938900203666,0.6367175801138065,0.8329938900203666,0.5277676399026764,0.8329938900203666,0.5176586160628713,0.1,linear
Gout,0.908,0.8568421052631578,0.908,0.6582396654094627,0.908,0.7073940257493257,0.1,linear
Hypercholesterolemia,0.8097447795823666,0.8074789553205266,0.8097447795823666,0.8114587432769251,0.8097447795823666,0.8083322486875786,0.01,linear
Hypertension,0.8632286995515696,0.5560856449603252,0.8632286995515696,0.4756009818858981,0.8632286995515696,0.5014241210502893,0.1,linear
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01,linear
OA,0.8138528138528138,0.4789768185451639,0.8138528138528138,0.4158856583924704,0.8138528138528138,0.4291216486594638,0.1,linear
OSA,0.9171717171717172,0.9339727195225916,0.9171717171717172,0.6483925910155418,0.9171717171717172,0.7401478141049731,0.1,linear
Obesity,0.8366890380313199,0.8349167908594138,0.8366890380313199,0.830484068627451,0.8366890380313199,0.8323391136801541,0.01,linear
PVD,0.9032258064516129,0.5821812596006145,0.9032258064516129,0.46248955722639934,0.9032258064516129,0.4958816860077364,0.01,linear
Venous Insufficiency,0.927400468384075,0.591903073286052,0.927400468384075,0.5134725350892393,0.927400468384075,0.5114236149558927,0.01,linear
overall,0.8732261116367077,0.6447848795315227,0.8732261116367077,0.578003113718135,0.8732261116367077,0.5988901974412629,,
