,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9723991507430998,0.9572245564892623,0.9723991507430998,0.9288607502554371,0.9723991507430998,0.9423668828418408
CAD,0.8122270742358079,0.5377484222492258,0.8122270742358079,0.5406001589825119,0.8122270742358079,0.538949029664883
CHF,0.8767123287671232,0.5842234089897641,0.8767123287671232,0.5903078070082012,0.8767123287671232,0.5870946101390712
Depression,0.9664570230607966,0.9569991573625447,0.9664570230607966,0.9443164362519201,0.9664570230607966,0.9504698613779139
Diabetes,0.8997912317327766,0.8839595436118193,0.8997912317327766,0.8779258710765561,0.8997912317327766,0.8808457711442785
GERD,0.8826291079812206,0.5521464646464646,0.8826291079812206,0.5590531570455554,0.8826291079812206,0.5555368782801965
Gallstones,0.9531568228105907,0.9363795590356481,0.9531568228105907,0.8864507299270072,0.9531568228105907,0.9090132697374251
Gout,0.98,0.9592989738268188,0.98,0.946263863475111,0.98,0.9526515151515151
Hypercholesterolemia,0.91415313225058,0.9140116176729449,0.91415313225058,0.911386593204775,0.91415313225058,0.9125698339336721
Hypertension,0.8878923766816144,0.5542582417582418,0.8878923766816144,0.5572625698324022,0.8878923766816144,0.5556692107954992
Hypertriglyceridemia,0.98559670781893,0.9331709956709957,0.98559670781893,0.9167462039045553,0.98559670781893,0.9247794459062064
OA,0.9372294372294372,0.5965377532228361,0.9372294372294372,0.6191673902845566,0.9372294372294372,0.6072005688061535
OSA,0.9939393939393939,0.9933177933177934,0.9939393939393939,0.8232323232323232,0.9939393939393939,0.8804764849032525
Obesity,0.9261744966442953,0.9235390662992382,0.9261744966442953,0.9269301470588235,0.9261744966442953,0.9249973305944386
PVD,0.9591397849462365,0.6044064726770096,0.9591397849462365,0.6258723732407944,0.9591397849462365,0.6145624706376877
Venous Insufficiency,0.9063231850117096,0.6497448979591837,0.9063231850117096,0.6780020793623289,0.9063231850117096,0.6621835443037976
overall,0.9299905392620624,0.6789655168975989,0.9299905392620624,0.6373397936855266,0.9299905392620624,0.6480008641637481
