,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9745222929936306,0.9648040066251282,0.9745222929936306,0.9301014450445191,0.9745222929936306,0.9464569912845775,gini
CAD,0.8144104803493449,0.5392945464011455,0.8144104803493449,0.542978272390037,0.8144104803493449,0.5407366583999266,gini
CHF,0.8698630136986302,0.5796257246452456,0.8698630136986302,0.5854297582277134,0.8698630136986303,0.5824617633828161,gini
Depression,0.9643605870020965,0.9494741183749227,0.9643605870020965,0.9463901689708141,0.9643605870020965,0.9479207475675155,gini
Diabetes,0.8977035490605428,0.8820449872004701,0.8977035490605428,0.8745012135423095,0.8977035490605428,0.8781214786812548,gini
GERD,0.892018779342723,0.5665526675786593,0.892018779342723,0.5553498142914379,0.892018779342723,0.5605130894992604,gini
Gallstones,0.9674134419551935,0.9579024131530098,0.9674134419551935,0.9201338199513382,0.9674134419551935,0.9377298668357641,gini
Gout,0.974,0.9317660550458715,0.974,0.9499047761305501,0.974,0.9405714285714286,entropy
Hypercholesterolemia,0.8979118329466357,0.895807027474202,0.8979118329466357,0.897503170230443,0.8979118329466356,0.8965750436300175,gini
Hypertension,0.8811659192825112,0.550327187513817,0.8811659192825112,0.540185373285932,0.8811659192825112,0.545127739396495,entropy
Hypertriglyceridemia,0.9506172839506173,0.7487457355007023,0.9506172839506173,0.822646420824295,0.9506172839506173,0.7799743454312231,entropy
OA,0.9307359307359307,0.5939776867030965,0.9307359307359307,0.6081783792955455,0.9307359307359307,0.60087594506983,gini
OSA,0.9959595959595959,0.994170678750118,0.9959595959595959,0.8282828282828283,0.9959595959595959,0.8834485202906256,gini
Obesity,0.9284116331096197,0.9261931864379218,0.9284116331096197,0.9282475490196078,0.9284116331096197,0.9271423332382543,entropy
PVD,0.9591397849462365,0.6044064726770096,0.9591397849462365,0.6258723732407944,0.9591397849462365,0.6145624706376877,gini
Venous Insufficiency,0.8758782201405152,0.5638276281964552,0.8758782201405152,0.5817449315543234,0.8758782201405152,0.5708054391321664,entropy
overall,0.9251250168941749,0.6752402687317298,0.9251250168941749,0.6335375025283637,0.9251250168941749,0.6442373752296288,
